"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2012",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,5,,30,,2,,17,,11,,33,,14,
Evangelical Presbyterian Church,,23,,91,,12,,40,,25,,122,,39,
Fellowship of Evangelical Baptist Churches in Canada,,4,,25,,3,,9,,9,,58,,11,
Fellowship of Grace Brethren Churches,,4,,9,,3,,9,,10,,20,,10,
Foursquare Gospel Church,,16,,45,,12,,49,,18,,60,,27,
Free Methodist Church,,19,,69,,11,,32,,23,,65,,35,
"Friends, Quaker",,7,,14,,5,,9,,14,,18,,19,
General Association of General Baptists,,2,,6,,2,,3,,3,,11,,4,
General Association of Regular Baptist Churches,,2,,9,,2,,3,,10,,21,,12,
General Baptist State Convention of North Carolina,,1,,2,,1,,2,,5,,8,,5,
General Church of New Jerusalem,,0,,0,,0,,0,,1,,1,,1,
Greek Orthodox Archdiocese of America,,2,,84,,0,,0,,10,,20,,11,
Heritage Reformed Congregations (USA and Canada),,2,,3,,0,,0,,1,,3,,2,
Independent Baptist,,30,,94,,15,,31,,34,,113,,44,
Independent Methodist,,18,,50,,7,,17,,13,,117,,23,
Inter/Multidenominational,,40,,188,,18,,138,,31,,237,,50,
Jewish,,9,,11,,4,,5,,24,,59,,30,
Korean American Presbyterian Church,,30,,392,,15,,162,,33,,305,,40,
Lutheran Church-Canada,,5,,20,,2,,6,,13,,29,,14,
Lutheran Church-Missouri Synod,,22,,493,,12,,34,,33,,415,,45,
"Lutheran, Other",,43,,103,,16,,37,,44,,157,,68,
Mennonite Brethren Church in North America,,12,,28,,10,,45,,19,,63,,26,
Mennonite Church Canada,,8,,13,,5,,8,,15,,29,,18,
Mennonite Church USA,,13,,96,,13,,25,,22,,95,,33,
"Mennonite, Other",,16,,25,,6,,14,,13,,31,,25,
Missionary Church in Canada,,5,,8,,5,,11,,9,,18,,13,
Moravian Church in North America,,4,,12,,2,,3,,6,,11,,8,
Muslim,,4,,5,,3,,4,,21,,114,,24,
National Association of Congregational Christian Churches,,7,,10,,2,,3,,7,,10,,12,
National Baptist Convention,,45,,203,,14,,33,,49,,104,,64,
Nondenominational,,135,,"2,508",,85,,"1,807",,132,,"2,571",,159,
North American Baptist Conference,,13,,32,,4,,12,,17,,30,,22,
Orthodox Church in America,,6,,42,,4,,4,,11,,22,,14,
Orthodox Presbyterian,,11,,51,,2,,4,,14,,45,,16,
"Orthodox, Other",,11,,59,,7,,9,,32,,92,,42,
Other,,169,,"2,993",,106,,"1,719",,179,,"6,124",,207,
Pentecostal Assemblies of Canada,,21,,55,,11,,54,,25,,118,,33,
Presbyterian Church (U.S.A.),,104,,"1,325",,42,,198,,97,,998,,125,
Presbyterian Church in America,,45,,789,,26,,247,,56,,689,,70,
Presbyterian Church in Canada,,16,,146,,8,,14,,20,,140,,26,
Presbyterian Church International,,6,,14,,3,,7,,12,,120,,12,
Progressive National Baptist Convention,,13,,28,,2,,3,,14,,17,,24,
Reformed Church in America,,37,,247,,10,,21,,35,,103,,52,
Reformed Church in Canada,,3,,4,,0,,0,,3,,42,,4,
Reformed Episcopal Church,,5,,24,,0,,0,,5,,37,,9,
Reformed Presbyterian,,15,,65,,6,,18,,12,,40,,23,
Religious Society of Friends,,10,,43,,3,,4,,13,,33,,17,
Roman Catholic,,89,,"2,766",,65,,"1,029",,124,,"3,073",,153,
Salvation Army,,10,,20,,12,,15,,20,,54,,30,
