Membership Status,2003,2008,2011,2012
"Accredited United States 184 200 206 207
Canada 31 33 34 33
Total 215 233 240 240",,,,
"Candidate United States 9 5 8 9
Canada 3 1 1 1
Total 12 6 9 10",,,,
"Associate United States 13 9 7 17
Canada 2 2 4 6
Total 15 11 11 23",,,,
"Totals United States 206 214 221 233
Canada 36 36 39 40
All Schools 242 250 260 273",,,,
