"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2012",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh Day Baptist General Conference,,4,,4,,1,,1,,0,,0,,5,
Seventh-day Adventist,,23,,476,,13,,627,,43,,572,,59,
Southern Baptist Convention,,68,,"5,019",,45,,"1,407",,74,,"3,996",,96,
"Swedenborgian Church, General Convention",,3,,5,,2,,2,,1,,2,,5,
Unitarian Universalist,,37,,296,,7,,10,,33,,81,,47,
United Church of Canada,,13,,165,,5,,26,,24,,210,,29,
United Church of Christ,,75,,781,,17,,179,,66,,644,,92,
United Methodist Church,,111,,"3,071",,71,,349,,116,,"1,249",,146,
United Pentecostal Church International,,24,,94,,11,,50,,22,,68,,37,
Wesleyan Church,,23,,152,,11,,59,,33,,74,,42,
Wisconsin Evangelical Lutheran Synod,,1,,1,,1,,2,,4,,5,,6,
"Total 256 32,166 173 11,299 254 30,758 268",,,,,,,,,,,,,,,
