"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2012",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh Day Baptist General Conference,,4,,4,,1,,1,,0,,0,,5,
Seventh-day Adventist,,22,,475,,12,,625,,38,,564,,53,
Southern Baptist Convention,,65,,5016,,43,,1405,,70,,3990,,91,
"Swedenborgian Church, General Convention",,3,,5,,1,,1,,1,,2,,4,
Unitarian Universalist,,34,,291,,5,,7,,30,,78,,42,
United Church of Canada,,2,,5,,0,,0,,11,,20,,13,
United Church of Christ,,73,,775,,17,,179,,66,,644,,90,
United Methodist Church,,111,,3071,,71,,349,,112,,1240,,142,
United Pentecostal Church International,,23,,86,,11,,50,,21,,67,,35,
Wesleyan Church,,23,,152,,11,,59,,28,,67,,37,
Wisconsin Evangelical Lutheran Synod,,1,,1,,1,,2,,4,,5,,6,
"Total 221 30,590 155 10,609 218 27,902 230",,,,,,,,,,,,,,,
