"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2012",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,4,,29,,1,,16,,8,,27,,9,
Evangelical Presbyterian Church,,0,,0,,0,,0,,1,,1,,1,
Fellowship of Evangelical Baptist Churches in Canada,,4,,25,,2,,8,,8,,57,,9,
Fellowship of Grace Brethren Churches,,0,,0,,0,,0,,2,,4,,2,
Foursquare Gospel Church,,1,,1,,1,,1,,3,,4,,4,
Free Methodist Church,,4,,13,,1,,1,,6,,12,,9,
"Friends, Quaker",,0,,0,,0,,0,,0,,0,,0,
General Association of General Baptists,,0,,0,,0,,0,,0,,0,,0,
General Association of Regular Baptist Churches,,0,,0,,0,,0,,0,,0,,0,
General Baptist State Convention of North Carolina,,0,,0,,0,,0,,0,,0,,0,
General Church of New Jerusalem,,0,,0,,0,,0,,0,,0,,0,
Greek Orthodox Archdiocese of America,,0,,0,,0,,0,,0,,0,,0,
Heritage Reformed Congregations (USA and Canada),,0,,0,,0,,0,,0,,0,,0,
Independent Baptist,,3,,5,,1,,1,,4,,6,,6,
Independent Methodist,,2,,2,,1,,3,,1,,4,,2,
Inter/Multidenominational,,3,,5,,1,,1,,6,,8,,7,
Jewish,,0,,0,,0,,0,,3,,4,,3,
Korean American Presbyterian Church,,2,,8,,1,,25,,2,,8,,2,
Lutheran Church-Canada,,4,,19,,1,,5,,11,,21,,12,
Lutheran Church-Missouri Synod,,1,,6,,0,,0,,2,,3,,2,
"Lutheran, Other",,5,,7,,1,,1,,5,,11,,8,
Mennonite Brethren Church in North America,,7,,22,,4,,27,,12,,48,,13,
Mennonite Church Canada,,7,,9,,5,,8,,12,,26,,14,
Mennonite Church USA,,0,,0,,0,,0,,0,,0,,0,
"Mennonite, Other",,3,,5,,1,,8,,2,,12,,3,
Missionary Church in Canada,,3,,6,,3,,6,,5,,11,,9,
Moravian Church in North America,,0,,0,,0,,0,,0,,0,,0,
Muslim,,0,,0,,1,,2,,2,,5,,2,
National Association of Congregational Christian Churches,,0,,0,,0,,0,,0,,0,,0,
National Baptist Convention,,1,,1,,0,,0,,0,,0,,1,
Nondenominational,,11,,91,,7,,26,,16,,144,,17,
North American Baptist Conference,,3,,14,,1,,1,,4,,9,,5,
Orthodox Church in America,,0,,0,,0,,0,,0,,0,,0,
Orthodox Presbyterian,,0,,0,,0,,0,,0,,0,,0,
"Orthodox, Other",,0,,0,,2,,2,,4,,17,,6,
Other,,22,,212,,9,,146,,26,,704,,29,
Pentecostal Assemblies of Canada,,13,,47,,9,,44,,18,,107,,22,
Presbyterian Church (U.S.A.),,1,,2,,0,,0,,3,,8,,3,
Presbyterian Church in America,,1,,4,,0,,0,,3,,15,,3,
Presbyterian Church in Canada,,12,,139,,7,,13,,14,,127,,19,
Presbyterian Church International,,0,,0,,1,,4,,1,,1,,1,
Progressive National Baptist Convention,,0,,0,,0,,0,,0,,0,,0,
Reformed Church in America,,3,,3,,0,,0,,3,,5,,5,
Reformed Church in Canada,,2,,3,,0,,0,,2,,4,,3,
Reformed Episcopal Church,,1,,15,,0,,0,,1,,30,,1,
Reformed Presbyterian,,0,,0,,0,,0,,0,,0,,0,
Religious Society of Friends,,0,,0,,0,,0,,0,,0,,0,
Roman Catholic,,8,,141,,9,,128,,20,,363,,21,
Salvation Army,,4,,8,,3,,4,,8,,32,,13,
