col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2011,2012
Augustine Institute,n/a,Associate
Freed-Hardeman University Graduate School of Theology,n/a,Associate
Georgia Christian University School of Divinity,n/a,Associate
Grace Mission University Graduate School,n/a,Associate
Heritage Theological Seminary,Accredited,Associate
Marylhurst University Religious Studies Graduate Department,n/a,Associate
Midwest University Graduate School of Theology,n/a,Associate
Moody Theological Seminary,Candidate,Accredited
Northwest Baptist Seminary,n/a,Associate
Oklahoma Christian University Graduate School of Theology,n/a,Associate
Presbyterian Theological Seminary in America,n/a,Associate
Puritan Reformed Seminary,Associate,Candidate
Seattle Pacific Seminary of Seattle Pacific University,n/a,Associate
Shepherds Theological Seminary,n/a,Associate
St. Thomas University School of Theology and Ministry,n/a,Associate
Turner School of Theology of Amridge University,Associate,Candidate
Wesley Seminary at Indiana Wesleyan University,n/a,Associate
