"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2012",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,2,,5,,2,,4,,4,,12,,5,
African Methodist Episcopal,,71,,530,,24,,44,,50,,190,,84,
African Methodist Episcopal Zion,,31,,101,,4,,5,,14,,48,,37,
American Baptist Churches USA,,68,,414,,26,,85,,69,,332,,92,
Anglican Church of Canada,,17,,115,,12,,23,,31,,213,,38,
"Anglican, Other",,36,,146,,12,,42,,40,,171,,58,
Assemblies of God,,78,,422,,40,,259,,75,,543,,117,
Associate Reformed Presbyterian Church,,10,,60,,6,,7,,11,,40,,18,
Associated Gospel Churches of Canada,,5,,17,,5,,9,,9,,27,,11,
Baptist,,118,,"1,650",,68,,508,,126,,"1,330",,153,
Baptist Convention of Ontario and Quebec,,7,,19,,0,,0,,9,,43,,12,
Baptist General Association of Virginia,,3,,29,,2,,14,,2,,17,,4,
Baptist General Convention of Texas,,4,,330,,3,,22,,2,,138,,4,
Baptist Missionary Association of America,,30,,69,,12,,25,,20,,49,,41,
Baptist State Convention of North Carolina,,2,,58,,2,,10,,1,,8,,3,
"Brethren Church (Ashland, Ohio)",,2,,5,,4,,6,,5,,21,,6,
Brethren in Christ Church,,15,,31,,5,,7,,10,,21,,23,
Buddhist,,4,,11,,3,,9,,10,,34,,14,
Byzantine Catholic,,2,,8,,1,,3,,7,,11,,8,
Canadian Baptist of Western Canada,,5,,50,,2,,13,,4,,22,,6,
Canadian National Baptist Convention,,2,,7,,2,,4,,3,,6,,4,
Canadian Reformed Churches,,3,,21,,2,,2,,4,,5,,8,
Christian and Missionary Alliance,,40,,256,,32,,183,,50,,347,,67,
Christian Brethren (Plymouth Brethren),,6,,8,,3,,5,,10,,16,,17,
Christian Church (Disciples of Christ),,59,,399,,20,,53,,58,,159,,84,
Christian Churches and Churches of Christ,,26,,181,,17,,124,,32,,229,,43,
Christian Methodist Episcopal,,25,,90,,6,,6,,21,,36,,37,
Christian Reformed Church,,33,,206,,13,,45,,41,,171,,53,
"Church of God (Anderson, Indiana)",,23,,59,,11,,42,,22,,59,,38,
"Church of God (Cleveland, Tennessee)",,12,,78,,10,,72,,17,,76,,27,
Church of God in Christ,,41,,120,,17,,28,,26,,62,,55,
Church of the Brethren,,15,,58,,8,,10,,15,,33,,28,
Church of the Nazarene,,33,,282,,22,,145,,54,,207,,70,
Churches of Christ,,42,,268,,21,,187,,54,,245,,71,
"Churches of God, General Conference",,25,,38,,13,,31,,19,,39,,36,
Conference of Mennonites,,2,,2,,3,,3,,2,,3,,5,
Conservative Baptist Association of America,,13,,54,,11,,34,,17,,99,,21,
Convention of Atlantic Baptist Churches,,1,,35,,0,,0,,4,,78,,4,
Converge Worldwide,,33,,137,,21,,82,,36,,163,,50,
Cooperative Baptist Fellowship,,12,,154,,2,,6,,14,,42,,21,
Cumberland Presbyterian Church,,8,,39,,3,,8,,7,,18,,14,
Episcopal Church,,80,,733,,31,,109,,94,,714,,120,
Evangelical Church in Canada,,3,,13,,3,,7,,8,,22,,11,
Evangelical Congregational Church,,9,,18,,5,,6,,8,,14,,17,
Evangelical Covenant Church,,30,,172,,19,,76,,29,,109,,42,
Evangelical Formosan Church,,3,,6,,1,,1,,2,,11,,4,
Evangelical Free Church of America,,40,,193,,29,,147,,46,,356,,62,
Evangelical Free Church of Canada,,6,,14,,2,,6,,7,,18,,9,
Evangelical Lutheran Church in America,,56,,"1,042",,30,,156,,86,,555,,98,
