col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Director of Communications,,,,,,
Number,4,11,6,1,4,1
Average Salary,-,84425,100635,-,-,-
Median Salary,-,84048,88400,-,-,-
Average Salary and Housing,-,84425,106635,-,-,-
Average Benefits,-,9972,12224,-,-,-
Average Pension,-,6952,6622,-,-,-
Total Compensation Average,-,101349,125482,-,-,-
Total Compensation 25th Percentile,-,73094,97911,-,-,-
Total Compensation Median,-,101303,106683,-,-,-
Total Compensation 75th Percentile,-,109322,148500,-,-,-
Director of Doctor of Ministry,,,,,,
Number,2,8,4,3,3,1
Average Salary,-,64596,-,-,-,-
Median Salary,-,62400,-,-,-,-
Average Salary and Housing,-,64596,-,-,-,-
Average Benefits,-,9902,-,-,-,-
Average Pension,-,3399,-,-,-,-
Total Compensation Average,-,77897,-,-,-,-
Total Compensation 25th Percentile,-,62400,-,-,-,-
Total Compensation Median,-,72920,-,-,-,-
Total Compensation 75th Percentile,-,85878,-,-,-,-
Director of Enrollment Management,,,,,,
Number,6,8,8,2,2,2
Average Salary,87628,105039,94965,-,-,-
Median Salary,64831,80000,89826,-,-,-
Average Salary and Housing,87628,105039,94965,-,-,-
Average Benefits,4732,18086,8419,-,-,-
Average Pension,4553,10015,6015,-,-,-
Total Compensation Average,96913,133140,109398,-,-,-
Total Compensation 25th Percentile,64480,87630,87091,-,-,-
Total Compensation Median,75844,100747,103467,-,-,-
Total Compensation 75th Percentile,123552,106015,113107,-,-,-
Facilities Director,,,,,,
Number,4,8,6,3,2,-
Average Salary,-,74135,94610,-,-,-
Median Salary,-,71250,86569,-,-,-
Average Salary and Housing,-,74135,100610,-,-,-
Average Benefits,-,8210,21581,-,-,-
Average Pension,-,6228,7236,-,-,-
Total Compensation Average,-,88573,129426,-,-,-
Total Compensation 25th Percentile,-,75525,104336,-,-,-
Total Compensation Median,-,84812,123427,-,-,-
Total Compensation 75th Percentile,-,93694,149667,-,-,-
