All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
VP-Administration,,,
Number,12,18,14
Average Salary,"105,745","100,113","127,048"
Median Salary,"82,722","89,523","122,637"
Average Salary and Housing,"108,802","105,309","129,191"
Average Benefits,"14,416","13,510","14,607"
Average Pension,"8,986","7,885","13,970"
Total Average,"132,205","126,704","157,768"
25th percentile,"88,678","84,444","118,970"
Median,"106,100","106,525","156,745"
75th percentile,"127,490","149,292","180,550"
VP/Director-HR,,,
Number,3,5,14
Average Salary,-,"116,330","112,384"
Median Salary,-,"104,040","95,481"
Average Salary and Housing,-,"116,330","114,527"
Average Benefits,-,"15,400","12,005"
Average Pension,-,"12,280","8,402"
Total Average,-,"144,011","134,934"
25th percentile,-,"107,563","102,268"
Median,-,"115,484","118,118"
75th percentile,-,"158,739","147,037"
Chief Development Officer,,,
Number,29,35,29
Average Salary,"117,462","112,255","139,272"
Median Salary,"110,000","112,166","133,203"
Average Salary and Housing,"117,462","114,713","139,686"
Average Benefits,"12,210","13,017","16,515"
Average Pension,"8,187","10,629","12,995"
Total Average,"137,859","138,359","169,197"
25th percentile,"88,314","100,816","126,002"
Median,"133,866","134,400","161,135"
75th percentile,"165,732","169,170","204,678"
