All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,"Chief Executive Officer
(CEO)",,"Chief Academic Officer
(CAO)",,"Accreditation Liaison
Officer (ALO)",,Executive Vice President,
Number,194,33,182,23,7,-,28,4
Average Salary,"171,664","117,807","109,710","81,984","63,739",-,"143,936",-
Median Salary,"155,736","113,936","103,137","83,937","63,860",-,"149,940",-
Average Salary and Housing,"181,245","122,537","113,565","84,594","63,739",-,"144,364",-
Average Benefits,"16,722","6,438","13,911","4,694","6,515",-,"18,322",-
Average Pension,"12,167","7,681","7,530","6,435","1,548",-,"13,256",-
Total Compensation Average,"210,134","136,657","135,005","95,723","71,802",-,"175,942",-
"Total Compensation 25th
Percentile","121,747","95,773","101,272","80,238","53,268",-,"126,495",-
Total Compensation Median,"195,515","123,650","128,026","95,794","70,008",-,"180,813",-
"Total Compensation 75th
Percentile","261,112","160,094","165,571","108,269","72,060",-,"226,826",-
,VP-Administration,,VP/Director-HR,,Chief Development Officer,,Chief Diversity Officer,
Number,37,7,22,-,84,9,7,-
Average Salary,"109,680","113,067","115,338",-,"126,521","82,940","101,546",-
Median Salary,"98,500","83,914","101,700",-,"120,000","68,760","80,000",-
Average Salary and Housing,"113,570","115,394","116,702",-,"127,688","82,940","101,546",-
Average Benefits,"15,931","4,458","14,141",-,"14,691","6,062","14,264",-
Average Pension,"10,030","10,607","9,222",-,"10,881","8,030","8,650",-
Total Compensation Average,"139,531","130,459","140,065",-,"153,261","97,033","124,460",-
"Total Compensation 25th
Percentile","95,605","84,444","107,563",-,"117,913","65,637","84,130",-
Total Compensation Median,"123,869","101,106","118,118",-,"142,994","85,950","103,467",-
"Total Compensation 75th
Percentile","167,611","109,543","158,739",-,"188,221","102,661","140,000",-
,VP-Finance (CFO),,"Chief Information Officer
(CIO)",,"VP-Operations/Facilities
(COO)",,Academic Dean - Other,
Number,110,14,6,-,21,1,95,4
Average Salary,"126,772","82,648","115,531",-,"130,917",-,"95,874",-
Median Salary,"125,000","76,586","88,625",-,"105,000",-,"91,250",-
Average Salary and Housing,"127,425","82,648","115,531",-,"135,580",-,"96,179",-
Average Benefits,"14,184","5,304","18,963",-,"15,906",-,"16,129",-
Average Pension,"10,379","5,831","10,037",-,"10,196",-,"6,902",-
Total Compensation Average,"151,989","93,782","144,532",-,"161,682",-,"119,210",-
"Total Compensation 25th
Percentile","107,625","83,093","99,260",-,"98,673",-,"97,084",-
Total Compensation Median,"152,006","88,842","104,128",-,"137,816",-,"114,497",-
"Total Compensation 75th
Percentile","195,184","112,356","178,127",-,"182,765",-,"134,600",-
