Degree Category,col_1,Multi-Racial,col_3,col_4,Not Available,col_6,col_7,col_8,Total,col_10,col_11,col_12,Grand
,Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,
MDiv,,66,45,1,412,176,17,3,3685,1716,43,3,5447
MA (prof),,20,45,0,209,270,5,11,1456,1885,8,11,3360
MA (acad),,36,32,0,253,173,13,3,1866,1168,18,3,3055
MA (both),,10,13,0,130,129,0,2,657,469,0,2,1128
Subtotal MA,,66,90,0,592,572,18,16,3979,3522,26,16,7543
ThM/STM,,1,1,0,69,21,1,4,400,97,1,4,502
Doctoral Degree Programs,,,,,,,,,,,,,
DMin,,12,9,0,237,66,0,2,1381,534,3,2,1920
Other Prof Dr,,1,0,0,14,10,0,0,175,75,0,,250
"Subtotal DMin and Other
Prof Dr",,13,9,0,251,76,0,2,1556,609,3,2,2170
PhD/ThD,,3,1,0,57,15,1,0,333,94,1,,428
Total,,149,146,1,1381,860,37,25,9953,6038,74,25,16090
