All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
VP-Finance (CFO),,,
Number,35,52,36
Average Salary,111754,120175,133457
Median Salary,104917,115042,127382
Average Salary and Housing,111754,121558,133457
Average Benefits,10605,12483,16563
Average Pension,8691,9953,10929
Total Average,131049,143993,160949
25th percentile,94654,99249,122959
Median,125720,134864,170206
75th percentile,162750,189975,200480
VP-Operations/Facilities (COO),,,
Number,5,7,9
Average Salary,140853,119288,134441
Median Salary,95667,104000,130000
Average Salary and Housing,140853,119288,145321
Average Benefits,8922,16144,19602
Average Pension,9507,10607,10259
Total Average,159283,146039,175183
25th percentile,87691,98673,82000
Median,122363,128431,144117
75th percentile,172400,137816,196799
Academic Dean - Other,,,
Number,24,21,52
Average Salary,98829,102402,94265
Median Salary,91555,93556,90480
Average Salary and Housing,99829,102402,94361
Average Benefits,9669,20995,16540
Average Pension,5057,7907,7569
Total Average,114555,131304,118470
25th percentile,80000,101009,98015
Median,112444,117537,114497
75th percentile,133215,154717,134414
