col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
The Master's Seminary,ASSOC,U,H,CA,NONDEN,9387,13.1,13,22,791,508,11970
McCormick Theological Seminary,ACCRED,I,B,IL,PCUSA,9230,80.0,9,16,133,45,9295
McGill University School of Religious Studies,ACCRED,U,N,QC,INTER,1177,17.3,20,25,2,2,0
McMaster Divinity College,ACCRED,I,W,ON,BAPTOQ,4154,28.4,12,16,217,140,0
Meadville Lombard Theological School,ACCRED,I,W,IL,UUA,4010,31.4,4,7,68,50,29410
Memphis Theological Seminary,ACCRED,I,B,TN,PCCUM,4054,14.9,6,9,195,130,11690
Methodist Theological School in Ohio,ACCRED,I,W,OH,UMC,8756,53.4,11,14,176,86,30421
Mid-America Reformed Seminary,ACCRED,I,W,IN,INTER,2839,0.5,6,7,34,33,12686
Midwestern Baptist Theological Seminary,ACCRED,I,W,MO,SBC,26356,31.0,24,39,2792,1502,8400
Missio Theological Seminary,ACCRED,I,V,PA,INTER,3116,3.6,4,8,47,26,14000
Montreal School of Theology,ACCRED,I,N,QC,PCC,291,0.0,5,5,24,22,5200
Moody Theological Seminary,ACCRED,C,N,IL,NONDEN,7873,37.0,17,26,593,324,15570
Moravian Theological Seminary,ACCRED,C,W,PA,MORAVV,1690,28.2,6,7,51,27,19850
Mount Angel Seminary,ACCRED,I,W,OR,RC,5430,0.0,12,17,69,67,29694
Mount Saint Mary's Seminary,ACCRED,C,W,MD,RC,7272,11.5,10,14,122,165,28500
Multnomah Biblical Seminary of Jessup University,ACCRED,C,W,OR,NONDEN,2423,0.0,6,12,105,68,16130
NAIITS An Indigenous Learning Community,ACCRED,I,I,PEI,OTHER,538,0.0,1,1,48,15,0
Nashotah House,ACCRED,I,W,WI,EPISC,5299,9.0,6,9,112,76,17950
Nazarene Theological Seminary,ACCRED,I,W,MO,CHNAZ,4476,13.1,7,7,172,114,13840
New Brunswick Theological Seminary,ACCRED,I,M,NJ,RFCHAM,4967,19.2,9,13,131,76,17500
New Orleans Baptist Theological Seminary,ACCRED,I,W,LA,SBC,41775,75.2,38,66,1476,871,8285
New York Theological Seminary,ACCRED,I,M,NY,INTER,2329,0.6,5,7,51,26,9140
Newman Theological College,ACCRED,I,N,AB,RC,4544,27.9,4,10,180,126,9296
North Park Theological Seminary,ACCRED,C,W,IL,EVCOV,4848,97.0,8,14,273,118,13200
Northeastern Seminary at Roberts Wesleyan University,ACCRED,C,N,NY,INTER,2733,4.2,5,13,204,111,15490
Northern Baptist Theological Seminary,ACCRED,I,W,IL,ABCUSA,7226,11.2,2,129,281,79,18980
Northwest Nazarene University Graduate School of Theology,ACCRED,U,W,ID,CHNAZ,185,0.0,10,13,86,54,10183
Northwest Seminary,ACCRED,I,N,BC,FEVBAPT,2048,3.2,4,4,129,88,8401
Notre Dame Seminary,ACCRED,I,W,LA,RC,7106,19.6,14,18,120,120,24010
Oakwood University School of Theology Graduate Department,ACCRED,U,B,AL,SDADV,1801,1.3,5,8,16,12,0
Oblate School of Theology,ACCRED,I,H,TX,RC,9601,40.0,24,27,185,114,21980
Oral Roberts University Graduate School of Theology and Ministry,ACCRED,U,N,OK,INTER,5993,0.3,16,21,443,245,13660
"Pacific Christian College of Ministry and Biblical Studies of Hope International
University",ASSOC,U,M,CA,CCHCHC,277,0.0,4,8,51,33,13700
Pacific Lutheran Theological Seminary of California Lutheran University,ACCRED,U,W,CA,ELCA,4773,34.0,4,4,50,49,12556
Pacific School of Religion,ACCRED,I,W,CA,INTER,7634,56.3,5,6,140,73,19680
