All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Housing/Student Life,,,
Number,3,1,9
Average Salary,-,-,74411
Median Salary,-,-,79471
Average Salary and Housing,-,-,74411
Average Benefits,-,-,13519
Average Pension,-,-,4875
Total Average,-,-,92805
25th percentile,-,-,63015
Median,-,-,95694
75th percentile,-,-,113539
Director of IT,,,
Number,18,30,30
Average Salary,87079,83130,101967
Median Salary,86729,77002,96429
Average Salary and Housing,87079,83130,101967
Average Benefits,11509,14015,16051
Average Pension,6424,7642,9290
Total Average,105012,104787,127308
25th percentile,79768,84710,109895
Median,95201,99960,118408
75th percentile,121412,125719,154427
Director of Library,,,
Number,35,41,29
Average Salary,75288,72602,81287
Median Salary,72270,69367,76000
Average Salary and Housing,75704,74259,81287
Average Benefits,9243,12361,10910
Average Pension,4259,7223,6310
Total Average,89206,93842,98507
25th percentile,67967,71861,78715
Median,82590,90159,97632
75th percentile,100277,111332,113965
