col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Not Ranked,,,,,,
Number,6,5,14,4,-,-
Average Salary,46844,78877,81900,-,-,-
Median Salary,38324,-,72278,-,-,-
Average Salary and Housing,46844,85390,85647,-,-,-
Average Benefits,4552,9321,19718,-,-,-
Average Pension,3279,7419,5797,-,-,-
Total Compensation Average,54675,102130,111162,-,-,-
Total Compensation 25th Percentile,49314,34652,96600,-,-,-
Total Compensation Median,49757,123723,107412,-,-,-
Total Compensation 75th Percentile,61200,141185,128237,-,-,-
