All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Category,,MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Non-Degree
Applicants,,,,,,,
,2022,12778,15218,1108,5495,2407,0
,2023,10609,13198,1016,3444,2138,3005
Acceptances,,,,,,,
2022,,9592,10176,740,3085,958,0
,% of applicants,75%,67%,67%,56%,40%,0%
2023,,8536,10350,704,2773,849,2658
,% of applicants,81%,78%,69%,81%,40%,89%
New Enrollments,,,,,,,
2022,,6112,7169,508,2467,729,0
,% of acceptances,64%,71%,69%,80%,76%,0%
2023,,5809,7418,504,2132,631,1766
,% of acceptances,68%,72%,72%,77%,74%,66%
