All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Alum Officer,,,
Number,3,11,10
Average Salary,-,78941,67866
Median Salary,-,87842,67824
Average Salary and Housing,-,78941,67866
Average Benefits,-,14288,8861
Average Pension,-,7101,4987
Total Average,-,100329,81714
25th percentile,-,74688,72458
Median,-,102000,74634
75th percentile,-,121908,98893
Business Office Staff,,,
Number,11,13,10
Average Salary,52070,66110,56299
Median Salary,43000,58000,47716
Average Salary and Housing,52070,66110,56299
Average Benefits,8284,4760,9131
Average Pension,2750,6818,3414
Total Average,63104,77688,68845
25th percentile,40597,56530,52760
Median,58428,73728,57604
75th percentile,76708,95720,83572
Communications Staff,,,
Number,25,22,23
Average Salary,67611,58568,57939
Median Salary,66717,55000,61000
Average Salary and Housing,68513,58568,57939
Average Benefits,8342,6536,11510
Average Pension,4078,4389,4634
Total Average,80932,69493,74082
25th percentile,49259,56121,65000
Median,75355,63016,70812
75th percentile,104500,83717,83785
