All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,HR Staff,,IT Help Desk Support,,Library Staff,,Network Administrator,
Number,15,1,9,2,135,11,12,-
Average Salary,73246,-,60520,-,62052,56723,64561,-
Median Salary,68173,-,57364,-,60588,36813,56650,-
Average Salary and Housing,73246,-,60520,-,62052,56723,64561,-
Average Benefits,11548,-,10103,-,10453,4937,13668,-
Average Pension,6437,-,5387,-,5881,6094,5559,-
Total Compensation Average,91231,-,76009,-,78386,67755,83787,-
"Total Compensation 25th
Percentile",70883,-,56328,-,63685,40474,61559,-
Total Compensation Median,87539,-,74992,-,78851,48818,81906,-
"Total Compensation 75th
Percentile",106632,-,84891,-,93337,70297,106448,-
,Recruitment Staff,,Registrar,,,,,
Number,43,9,126,24,,,,
Average Salary,64503,43446,66300,59613,,,,
Median Salary,60400,43916,64913,54917,,,,
Average Salary and Housing,64503,43446,66300,59613,,,,
Average Benefits,11190,4093,9709,3526,,,,
Average Pension,4605,1050,4915,4845,,,,
Total Compensation Average,80298,48588,80924,67984,,,,
"Total Compensation 25th
Percentile",58611,36173,65000,44188,,,,
Total Compensation Median,76747,49430,77734,61838,,,,
"Total Compensation 75th
Percentile",93607,56211,98013,84418,,,,
