United States,col_1,col_2,col_3
Faculty Rank Name,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Professor,,,
1Number,189,355,516
2Average Salary,110654,96753,103184
2Median Salary,94212,90951,93895
3Average Salary and Housing,113480,101428,105737
4Average Benefits,12868,12626,14314
5Average Pension,6991,7379,7330
6Total Compensation Average,133339,121434,127380
Total Compensation 25th Percentile,88001,91984,102577
Total Compensation Median,118161,117345,117866
Total Compensation 75th Percentile,175000,140000,144653
Associate Professor,,,
1Number,135,205,314
2Average Salary,89803,81467,87889
2Median Salary,84793,80000,85150
3Average Salary and Housing,91248,84372,90751
4Average Benefits,12676,13522,13986
5Average Pension,4976,6916,6191
6Total Compensation Average,108901,104810,110928
Total Compensation 25th Percentile,86209,90224,93693
Total Compensation Median,105000,100612,107051
Total Compensation 75th Percentile,127924,118465,127862
Assistant Professor,,,
1Number,149,171,235
2Average Salary,67371,68649,72283
2Median Salary,66664,68000,71400
3Average Salary and Housing,69348,72044,73744
4Average Benefits,11723,11382,12401
5Average Pension,4546,6319,4682
6Total Compensation Average,85617,89744,90826
Total Compensation 25th Percentile,67763,69000,78644
Total Compensation Median,86814,90419,89248
Total Compensation 75th Percentile,103717,105283,102250
Not Ranked,,,
1Number,15,9,2
2Average Salary,101232,69766,-
2Median Salary,92925,72278,-
3Average Salary and Housing,102032,77879,-
4Average Benefits,19590,11641,-
5Average Pension,8349,6414,-
6Total Compensation Average,129971,95934,-
Total Compensation 25th Percentile,83536,36000,-
Total Compensation Median,117799,107412,-
Total Compensation 75th Percentile,144348,123723,-
