All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2014,,2019,,2022,,2023,
Enrollment size,N,%,N,%,N,%,N,%
< 75,60,22%,65,24%,71,25%,66,24%
75 - 150,75,27%,77,28%,82,29%,89,33%
151 - 300,76,28%,77,28%,68,24%,66,24%
301 - 500,29,11%,26,10%,28,10%,23,8%
501 - 1000,17,6%,12,4%,15,5%,12,4%
> 1000,13,5%,15,6%,14,5%,16,6%
Not Reporting,5,2%,3,1%,2,1%,2,1%
Total,275,100%,275,100%,280,100%,274,100%
