All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Financial Aid Officer,,,
Number,18,20,22
Average Salary,62425,55536,68287
Median Salary,51000,54500,66214
Average Salary and Housing,62425,55536,68287
Average Benefits,7165,9367,11666
Average Pension,4317,6518,5878
Total Average,73907,71421,85831
25th percentile,48711,54108,75042
Median,62139,66238,80885
75th percentile,87582,80670,98700
HR Staff,,,
Number,4,4,8
Average Salary,-,-,71077
Median Salary,-,-,65520
Average Salary and Housing,-,-,71077
Average Benefits,-,-,8508
Average Pension,-,-,5886
Total Average,-,-,85470
25th percentile,-,-,56496
Median,-,-,84650
75th percentile,-,-,97189
IT Help Desk Support,,,
Number,4,-,7
Average Salary,-,-,56184
Median Salary,-,-,56160
Average Salary and Housing,-,-,56184
Average Benefits,-,-,10505
Average Pension,-,-,5834
Total Average,-,-,72523
25th percentile,-,-,56328
Median,-,-,67793
75th percentile,-,-,78567
