"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2023",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
Advent Christian Church,2,2,3,4,2,3,5,9
African Methodist Episcopal,52,304,26,60,43,154,73,518
African Methodist Episcopal Zion,14,56,8,18,13,45,20,119
American Baptist Churches USA,44,212,35,70,45,184,67,466
Anglican Church of Canada,10,82,14,49,19,114,23,245
"Anglican, Other",44,162,48,298,41,167,69,627
Antiochian Orthodox Christian Archdiocese of North America,5,30,3,8,4,130,7,168
Assemblies of God,58,295,60,535,53,350,87,"1,180"
Associate Reformed Presbyterian Church,6,25,7,16,11,31,15,72
Associated Gospel Churches of Canada,3,11,6,14,6,18,9,43
Augsburg Lutheran Churches,0,0,1,1,1,3,2,4
Baptist,101,758,105,803,100,772,139,"2,333"
Baptist Convention of Ontario and Quebec,5,21,4,15,4,24,7,60
Baptist General Association of Virginia,3,7,1,3,1,2,3,12
Baptist General Convention of Texas,2,135,3,44,3,62,4,241
Baptist Missionary Association of America,18,55,15,24,16,34,31,113
Baptist State Convention of North Carolina,2,2,0,0,2,2,3,4
"Baptist, Other",43,465,43,653,50,636,65,"1,754"
"Brethren Church (Ashland, Ohio)",2,3,1,5,1,3,2,11
Brethren in Christ Church,6,11,8,18,4,8,11,37
"Brethren, Other",9,32,11,56,10,21,21,109
Buddhist,13,65,10,51,11,18,24,134
Byzantine Catholic,4,12,5,21,3,10,6,43
Canadian Association of Lutheran Congregations,0,0,0,0,1,3,1,3
Canadian Baptists of Atlantic Canada,1,35,2,13,1,38,2,86
Canadian Baptists of Western Canada,4,6,6,10,6,11,10,27
Canadian National Baptist Convention,3,11,4,15,3,4,5,30
Canadian Reformed Churches,2,17,4,4,3,5,6,26
"Catholic, Other",13,209,12,333,14,67,28,609
Christian and Missionary Alliance,34,142,52,262,41,146,64,550
Christian Brethren (Plymouth Brethren),5,8,5,9,4,9,11,26
Christian Church (Disciples of Christ),41,172,28,100,40,137,64,409
Christian Churches and Churches of Christ,15,54,16,58,14,41,26,153
Christian Methodist Episcopal,16,40,7,8,11,35,25,83
Christian Reformed Church,25,125,26,88,29,114,49,327
"Church of God (Anderson, Indiana)",16,33,13,47,14,25,32,105
"Church of God (Cleveland, Tennessee)",7,39,14,117,13,140,19,296
Church of God in Christ,29,51,12,35,19,37,40,123
Church of the Brethren,3,19,4,10,4,11,8,40
Church of the Nazarene,27,149,32,116,29,137,59,402
Churches of Christ,31,189,34,243,35,120,64,552
"Churches of Christ-Christian Churches, Other",9,23,7,27,8,19,15,69
"Churches of God, General Conference",13,31,14,64,16,46,25,141
Conference of Mennonites,2,4,1,2,3,4,3,10
Convention of Atlantic Baptist Churches,2,2,1,2,3,6,3,10
Converge Worldwide,6,31,9,33,9,24,10,88
Cooperative Baptist Fellowship,15,71,10,22,17,59,22,152
Cumberland Presbyterian Church,3,11,1,6,2,16,4,33
ECO: A Covenant Order of Evangelical Presbyterians,5,19,5,22,4,20,6,61
