col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Abilene Christian University Graduate School of Theology,ACCRED,U,N,TX,CHUCHR,3646,5.1,10,10,162,68,18696
Academy for Jewish Religion,ACCRED,I,W,NY,JEWISH,1843,0.0,0,10,42,21,35331
Acadia Divinity College,ACCRED,U,N,NS,CANBAPTATL,2935,25.3,9,13,171,94,11159
Ambrose Seminary of Ambrose University,ACCRED,C,W,AB,CMA,3251,0.0,10,15,141,109,16598
America Evangelical University Seminary,ACCRED,C,V,CA,KEHC,1842,0.0,1,13,141,121,7400
Anabaptist Mennonite Biblical Seminary,ACCRED,I,N,IN,MBUS,5571,29.3,8,12,147,60,7748
Anderson University School of Theology,ACCRED,C,N,IN,COGAND,566,8.0,1,5,60,26,9390
Antiochian House of Studies,ACCRED,I,W,CA,AntOrthNA,404,0.0,2,13,234,24,3430
Aquinas Institute of Theology,ACCRED,I,W,MO,RC,3303,4.4,9,13,101,53,21000
Asbury Theological Seminary,ACCRED,I,W,KY,INTER,43483,215.6,40,68,1682,907,23554
Ashland Theological Seminary,ACCRED,U,W,OH,BRCHAO,4977,9.7,14,19,256,162,12600
Assemblies of God Theological Seminary,ACCRED,U,W,MO,AOG,2086,0.2,6,11,355,172,12540
Associated Canadian Theological Schools (ACTS) of Trinity Western University,ACCRED,C,W,BC,INTER,3896,0.5,6,7,292,118,17066
Athenaeum of Ohio,ACCRED,I,W,OH,RC,6912,36.0,11,20,157,128,23390
Atlantic School of Theology,ACCRED,I,N,NS,INTER,3240,7.0,9,10,78,34,8350
Augustine Institute,ACCRED,I,N,CO,RC,28311,0.8,14,16,417,133,0
Austin Presbyterian Theological Seminary,ACCRED,I,W,TX,PCUSA,12859,165.0,16,18,166,91,7950
Azusa Pacific Seminary,ACCRED,U,H,CA,WESLCH,4214,0.0,7,10,195,122,14160
B. H. Carroll Theological Seminary at East Texas Baptist University,ACCRED,I,M,TX,BAPT,1947,0.0,2,8,86,42,6660
Baptist Missionary Association Theological Seminary,ACCRED,I,W,TX,BAPTMA,1506,1.6,5,6,38,17,6750
Baptist Seminary of Kentucky,ACCRED,I,B,KY,CBF,1284,2.2,4,4,54,31,5396
Barry University Department of Theology and Philosophy,ACCRED,U,H,FL,RC,1176,0.0,9,9,16,8,0
Beeson Divinity School of Samford University,ACCRED,U,W,AL,INTER,4260,70.0,17,19,125,108,17676
Berkeley Divinity School,ACCRED,U,W,CT,EPISC,0,0,0,0,0,0,0
Berkeley School of Theology (CA),ACCRED,I,M,CA,ABCUSA,4191,9.1,6,9,126,85,18170
Bethany Theological Seminary,ACCRED,I,W,IN,CHBRETH,3941,56.5,8,10,82,40,12000
Bethel Seminary of Bethel University,ACCRED,C,W,MN,BAPTCW,4495,16.9,9,16,299,143,8112
"Bexley Hall Seabury-Western Theological Seminary Federation, Inc.",ACCRED,I,W,IL,EPISC,3085,9.0,2,7,83,34,19845
Boston College School of Theology and Ministry,ACCRED,U,W,MA,RC,19403,74.1,29,32,273,194,30404
Boston University School of Theology,ACCRED,U,W,MA,UMC,18541,107.4,34,37,299,255,24414
Briercrest College and Seminary,ACCRED,C,W,SK,INTER,2609,0.5,5,8,151,64,11700
Brite Divinity School at Texas Christian University,ACCRED,I,W,TX,DISCPL,8642,103.1,13,15,120,64,0
Byzantine Catholic Seminary of SS. Cyril and Methodius,ACCRED,I,W,PA,BYZANTIN,1059,0.0,4,6,23,15,10980
Calvin Theological Seminary,ACCRED,I,W,MI,CRC,11100,57.7,13,16,293,117,17555
Campbell University Divinity School,ACCRED,U,W,NC,CBF,1728,38.6,6,9,119,85,14935
