All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Registrar,,,
Number,45,64,39
Average Salary,65657,63805,69022
Median Salary,62194,62942,70309
Average Salary and Housing,65657,63805,69022
Average Benefits,6831,9619,9869
Average Pension,4598,4446,6231
Total Average,77086,77871,85122
25th percentile,56491,60260,68898
Median,75264,74823,84418
75th percentile,90706,91040,104076
