"Table 4.5 Average Total Expenditures Per Full-Time Equivalent Student by Full-Time
Equivalent Enrollment Size",col_1,col_2,col_3,col_4
,2021-22,,2022-23,
,Average,N,Average,N
United States Schools,,,,
< 75,75912,85,81488,95
75 - 150,59011,72,63855,72
151 - 300,46834,45,70080,35
301 - 500,67528,11,50682,13
501 - 1000,40280,10,40868,14
> 1000,27973,7,25993,6
Canadian Schools,,,,
< 75,83767,25,73506,24
75 - 150,27950,6,36630,9
151 - 300,24690,3,41504,2
301 - 500,39079,1,45849,1
501 - 1000,0,0,0,0
> 1000,0,0,0,0
"All data is displayed in U.S. dollars.
N = Number reporting.",,,,
