Canada,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Category,,MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Non-Degree
Applicants,,,,,,,
,2022,499,798,81,103,54,0
,2023,502,909,74,133,53,433
Acceptances,,,,,,,
2022,,363,634,62,64,39,0
,% of applicants,73%,79%,77%,62%,72%,0%
2023,,417,748,59,111,43,370
,% of applicants,83%,82%,80%,84%,81%,86%
New Enrollments,,,,,,,
2022,,281,463,43,47,22,0
,% of acceptances,77%,73%,69%,73%,56%,0%
2023,,302,546,46,89,33,234
,% of acceptances,72%,73%,78%,80%,77%,63%
