All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Chief Executive Officer (CEO),,,
Number,74,87,56
Average Salary,131333,165659,213085
Median Salary,120000,145656,208000
Average Salary and Housing,137833,174621,225659
Average Benefits,11115,17475,18475
Average Pension,8482,11435,17355
Total Average,157430,203531,261489
25th percentile,105840,131365,160094
Median,141919,177755,245911
75th percentile,197008,242517,300532
Chief Academic Officer (CAO),,,
Number,64,83,50
Average Salary,99553,100282,130461
Median Salary,91501,98769,127521
Average Salary and Housing,102401,104581,134581
Average Benefits,12098,12722,15520
Average Pension,6582,7320,9565
Total Average,121081,124623,159666
25th percentile,85441,97505,117524
Median,108944,122328,158373
75th percentile,134059,146691,189619
Executive Vice President,,,
Number,10,12,10
Average Salary,115900,134616,168699
Median Salary,87048,123023,185000
Average Salary and Housing,117643,134616,168699
Average Benefits,13477,9033,27764
Average Pension,8596,12085,16680
Total Average,139717,155734,213142
25th percentile,69378,119093,191910
Median,96180,149583,226826
75th percentile,204884,180813,249869
