All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Student Services/Affairs,,,
Number,18,28,19
Average Salary,69784,65218,59789
Median Salary,68302,61500,61256
Average Salary and Housing,70451,65451,60704
Average Benefits,8222,10985,10735
Average Pension,4939,4135,4740
Total Average,83612,80571,76179
25th percentile,70435,61178,58044
Median,79279,79961,78606
75th percentile,87806,90460,93152
Accounting Staff,,,
Number,4,7,24
Average Salary,-,75486,67271
Median Salary,-,70100,64705
Average Salary and Housing,-,75486,67271
Average Benefits,-,9740,11234
Average Pension,-,5342,5684
Total Average,-,90568,84189
25th percentile,-,83742,64883
Median,-,88796,74409
75th percentile,-,89916,99087
Admissions Officer,,,
Number,24,51,37
Average Salary,63212,57423,68283
Median Salary,57500,54590,63440
Average Salary and Housing,63212,57854,68418
Average Benefits,5990,8823,14497
Average Pension,4099,4323,5399
Total Average,73301,71001,88314
25th percentile,48569,55268,55497
Median,71468,68900,87716
75th percentile,81288,82680,103578
