Table 2.3 Full-Time Equivalent Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
All Member Schools,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2019,275,"22,005","15,525",761,"4,333","4,116","46,740","2,073","48,813"
2020,275,"22,053","15,877",793,"4,494","3,939","47,156","2,081","49,237"
2021,272,"20,238","15,663",744,"4,806","4,017","45,469","2,405","47,874"
2022,280,"19,380","16,184",728,"4,906","4,113","45,311","2,242","47,553"
2023,274,"18,763","14,284",484,"7,638","2,870","44,039","2,359","46,398"
United States,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2019,236,"20,942","14,535",700,"4,216","3,807","44,200","1,808","46,007"
2020,237,"21,093","14,817",746,"4,375","3,678","44,709","1,787","46,496"
2021,235,"19,329","14,655",675,"4,684","3,773","43,115","2,101","45,215"
2022,243,"18,600","15,247",673,"4,781","3,879","43,180","2,016","45,196"
2023,237,"17,907","13,380",419,"7,435","2,678","41,819","1,994","43,814"
Canada,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2019,39,"1,063",990,61,117,309,"2,541",266,"2,806"
2020,38,960,"1,060",47,119,261,"2,447",294,"2,741"
2021,37,910,"1,009",69,123,244,"2,354",304,"2,659"
2022,37,780,937,55,125,234,"2,131",225,"2,356"
2023,37,856,904,65,203,192,"2,219",365,"2,584"
Table 2.3 reports fall full time equivalent enrollment over a five-year period.,,,,,,,,,
