All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"Race/Ethnicity
Faculty Rank",,2019,,,2020,,,2021,,,2022,,,2023,,
,,M,F,O/U,M,F,O/U,M,F,O/U,M,F,O/U,M,F,O/U
Asian or PI,Professor,68,13,0,73,17,0,76,21,0,84,21,0,79,21,0
,Associate Professor,58,30,0,56,27,0,63,26,0,61,28,0,59,26,1
,Assistant Professor,44,27,1,55,28,2,52,29,2,59,35,2,49,35,0
,Others,9,4,0,13,4,1,12,6,1,11,5,1,17,5,1
,Total,179,74,1,197,76,3,203,82,3,215,89,3,204,87,2
"Black (Non-
Hispanic)",Professor,61,22,0,65,23,0,62,24,0,65,32,0,66,31,0
,Associate Professor,61,24,0,52,29,0,56,36,0,56,37,0,48,35,0
,Assistant Professor,40,48,3,41,45,2,47,46,2,55,48,1,47,52,0
,Others,16,12,0,12,11,0,9,7,0,10,8,0,15,3,0
,Total,178,106,3,170,108,2,174,113,2,186,125,1,176,121,0
Hispanic,Professor,37,8,0,38,10,0,37,10,0,45,11,0,38,10,0
,Associate Professor,40,6,1,41,3,1,48,5,0,42,5,0,37,5,0
,Assistant Professor,33,15,1,30,17,1,28,17,1,35,16,0,41,19,0
,Others,7,6,1,8,10,0,10,6,0,11,11,0,7,5,0
,Total,117,35,3,117,40,2,123,38,1,133,43,0,123,39,0
Indigenous,Professor,1,0,0,1,0,0,1,1,0,2,1,0,3,0,0
,Associate Professor,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
,Assistant Professor,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0
,Others,2,1,0,2,1,0,2,2,0,1,2,0,1,0,0
,Total,5,1,0,5,1,0,5,3,0,5,3,0,5,1,0
"White (Non-
Hispanic)",Professor,"1,004",213,3,970,211,2,926,199,1,895,198,0,813,186,0
,Associate Professor,477,182,2,458,161,2,464,161,2,437,159,1,382,145,2
,Assistant Professor,325,121,4,286,130,2,257,135,1,265,148,2,226,132,1
,Others,144,68,4,132,59,4,124,47,4,110,40,2,74,42,0
,Total,"1,950",584,13,"1,846",561,10,"1,771",542,8,"1,707",545,5,"1,495",505,3
Multiracial,Professor,2,1,0,4,2,0,5,2,0,5,2,0,1,1,0
,Associate Professor,9,2,0,6,5,0,5,4,0,6,4,0,5,3,0
,Assistant Professor,3,4,0,3,2,0,2,2,0,3,3,0,4,4,1
,Others,0,2,0,0,2,0,0,1,0,2,2,0,1,0,0
,Total,14,9,0,13,11,0,12,9,0,16,11,0,11,8,1
Not Available,Professor,35,12,1,36,11,1,41,10,2,40,14,2,46,11,4
,Associate Professor,37,19,4,38,16,4,42,14,3,47,22,3,42,22,6
,Assistant Professor,41,13,7,39,15,8,36,17,9,41,13,7,36,8,2
,Others,17,8,1,18,10,2,16,10,4,22,9,3,18,11,8
,Total,130,52,13,131,52,15,135,51,18,150,58,15,142,52,20
Total Faculty,Professor,"1,209",270,4,"1,189",274,3,"1,151",267,3,"1,140",280,2,"1,046",260,4
,Associate Professor,688,265,7,657,243,7,682,248,5,654,257,4,573,237,9
,Assistant Professor,491,233,16,459,241,15,427,248,15,463,265,12,404,250,4
,Others,195,101,6,185,97,7,173,80,9,167,77,6,133,66,9
,Total,"2,583",869,33,"2,490",855,32,"2,433",843,32,"2,424",879,24,"2,156",813,26
