Table 2.8 Full-Time Equivalent Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
United States,,,,,
,2019,2020,2021,2022,2023
Master's Degree Programs,,,,,
MDiv,20942,21093,19329,18600,17907
MA (prof),7960,8073,7951,7871,6981
MA (acad),6575,6744,5786,5813,5020
MA (both),0,0,918,1562,1379
Subtotal MA,14535,14817,14655,15247,13380
ThM/STM,700,746,675,673,419
Doctoral Degree Programs,,,,,
DMin,2815,2847,3132,3326,6432
Other Prof Dr,1401,1528,1552,1455,1003
Subtotal DMin and Other Prof Dr,4216,4375,4684,4781,7435
PhD/ThD,3807,3678,3773,3879,2678
Non-Degree Programs,,,,,
NonDegree,1808,1787,2101,2016,1994
Total,46008,46495,45217,45195,43813
Canada,,,,,
,2019,2020,2021,2022,2023
Master's Degree Programs,,,,,
MDiv,1063,960,910,780,856
MA (prof),458,519,524,492,513
MA (acad),533,541,301,199,187
MA (both),0,0,184,245,204
Subtotal MA,990,1060,1009,937,904
ThM/STM,61,47,69,55,65
Doctoral Degree Programs,,,,,
DMin,79,72,79,72,163
Other Prof Dr,38,47,44,53,40
Subtotal DMin and Other Prof Dr,117,119,123,125,203
PhD/ThD,309,261,244,234,192
Non-Degree Programs,,,,,
NonDegree,266,294,304,225,365
Total,2807,2741,2659,2355,2585
