Degree Category,col_1,Multi-Racial,col_3,col_4,Not Available,col_6,col_7,col_8,Total,col_10,col_11,col_12,Grand
,Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,
,MDiv,167,103,12,1093,299,9,318,7186,2958,147,318,10609
,MA (prof),74,80,2,524,518,21,63,3095,3288,36,63,6482
,MA (acad),88,62,2,535,274,25,190,3219,1916,80,190,5405
,MA (both),14,11,0,94,133,5,60,655,588,8,60,1311
,Subtotal MA,176,153,4,1153,925,51,313,6969,5792,124,313,13198
,ThM/STM,15,7,1,152,52,4,36,762,200,18,36,1016
Doctoral Degree Programs,,,,,,,,,,,,,
,DMin,40,27,1,273,122,1,78,2076,920,10,78,3084
,Other Prof Dr,4,8,0,24,10,0,1,213,146,0,1,360
,"Subtotal DMin and
Other Prof Dr",44,35,1,297,132,1,79,2289,1066,10,79,3444
,PhD/ThD,32,14,1,296,110,14,5,1546,545,42,5,2138
Non-Degree Programs,,,,,,,,,,,,,
,NonDegree,30,24,0,373,271,3,82,1535,1381,7,82,3005
Total,,464,336,19,3364,1789,82,833,20287,11942,348,833,33410
