All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Admissions,,,
Number,9,14,13
Average Salary,75379,63614,72893
Median Salary,74500,59808,74675
Average Salary and Housing,75379,63614,73278
Average Benefits,7381,10360,9075
Average Pension,3726,5074,5475
Total Average,86486,79049,87828
25th percentile,56673,57321,71678
Median,74500,72696,86993
75th percentile,111531,104309,105873
Director of Advancement,,,
Number,6,5,7
Average Salary,88725,81787,116674
Median Salary,76200,88000,115000
Average Salary and Housing,88725,81787,120960
Average Benefits,6078,16821,8071
Average Pension,1191,5682,11536
Total Average,95994,104290,140567
25th percentile,81318,70860,76165
Median,82615,105766,141967
75th percentile,119900,116204,148843
Director of Assessment,,,
Number,11,11,13
Average Salary,68120,71248,68640
Median Salary,62936,72411,58831
Average Salary and Housing,68120,71248,69024
Average Benefits,3445,6780,9326
Average Pension,3806,5932,7175
Total Average,75371,83960,85524
25th percentile,53784,70675,61808
Median,62936,82001,75084
75th percentile,85894,88115,93265
