"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2023",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
"Seventh-day Adventist Theological Seminary of
Andrews University",,426,368,324,134,0,0,99,75,88,41,9,5,946,623
Shaw University Divinity School,,65,43,40,24,0,0,0,0,0,0,0,0,105,67
Shepherds Theological Seminary,,50,28,116,86,6,2,19,16,0,0,2,1,193,133
Southeastern Baptist Theological Seminary,,719,412,969,447,38,9,276,127,129,69,55,21,2186,1085
Southeastern University School of Divinity,,99,61,190,110,0,0,51,36,0,0,0,0,340,207
Southern Baptist Theological Seminary,,1753,1011,699,372,51,19,317,187,263,152,198,125,3281,1866
"Southern California Seminary Graduate School of
Bible and Theology",,20,9,55,24,2,1,6,2,0,0,0,0,83,36
Southwestern Baptist Theological Seminary,,584,336,970,417,57,21,350,117,212,135,64,15,2237,1041
St. Andrew's College,,7,3,8,3,0,0,3,2,0,0,0,0,18,8
St. Augustine's Seminary of Toronto,,55,37,19,6,0,0,0,0,0,0,38,13,112,56
St. Bernard's School of Theology and Ministry,,11,3,81,28,0,0,0,0,0,0,64,14,156,45
St. Charles Borromeo Seminary,,60,83,53,40,0,0,0,0,0,0,0,0,113,123
St. John Vianney Theological Seminary,,53,71,0,0,0,0,0,0,0,0,0,0,53,71
St. John's Seminary (CA),,80,9,17,7,0,0,0,0,0,0,0,0,97,16
St. Joseph's Seminary,,54,61,92,29,0,0,0,0,0,0,14,4,160,94
St. Mark's College,,0,0,30,11,0,0,0,0,0,0,38,14,68,25
St. Mary's Seminary and University,,62,79,32,12,0,0,12,7,0,0,58,26,164,124
St. Peter's Seminary,,33,30,0,0,8,7,0,0,0,0,0,0,41,37
St. Stephen's College at the University of Alberta,,0,0,62,42,0,0,19,13,0,0,36,13,117,68
St. Tikhon's Orthodox Theological Seminary,,46,58,0,0,0,0,0,0,0,0,0,0,46,58
St. Vincent de Paul Regional Seminary,,100,69,31,23,0,0,0,0,0,0,9,8,140,100
St. Vladimir's Orthodox Theological Seminary,,44,44,25,27,6,4,13,7,0,0,2,1,90,83
Starr King School for the Ministry,,96,125,11,15,0,0,0,0,0,0,0,0,107,140
Talbot School of Theology of Biola University,,257,141,695,332,0,0,184,111,47,36,58,23,1241,643
Trinity College Faculty of Divinity,,27,19,30,18,2,1,6,6,16,16,1,1,82,61
Trinity Episcopal School for Ministry,,41,29,70,30,4,3,28,28,0,0,0,0,143,90
"Trinity Evangelical Divinity School of Trinity
International University",,147,110,258,118,24,10,91,44,165,90,50,17,735,389
Trinity Lutheran Seminary at Capital University,,20,15,30,16,1,1,1,1,0,0,3,1,55,34
Tyndale Seminary of Tyndale University,,417,251,255,132,10,4,85,67,0,0,59,24,826,478
Union Presbyterian Seminary,,118,108,40,28,4,4,15,14,0,0,3,1,180,155
Union Theological Seminary,,116,119,53,44,11,10,1,0,19,9,10,4,210,186
United Lutheran Seminary,,99,89,50,6,18,1,82,63,1,0,57,2,307,161
United Theological Seminary,,179,111,62,33,0,0,224,370,0,0,6,2,471,516
United Theological Seminary of the Twin Cities,,130,70,48,20,0,0,61,37,0,0,8,3,247,130
University of Chicago Divinity School,,46,1,83,2,0,0,0,0,103,6,0,0,232,9
University of Dubuque Theological Seminary,,53,40,16,9,0,0,47,33,0,0,0,0,116,82
"University of Northwestern-St. Paul School of
Theology and Ministry",,14,8,32,18,0,0,0,0,0,0,5,3,51,29
University of Notre Dame Department of Theology,,43,47,177,87,0,0,0,0,81,135,0,0,301,269
"University of St. Mary of the Lake Mundelein
Seminary",,104,139,48,21,0,0,8,4,0,0,0,0,160,164
"University of St. Michael's College Faculty of
Theology",,5,4,29,12,1,1,2,2,23,23,0,0,60,42
University of the South School of Theology,,39,46,13,13,17,5,57,39,0,0,0,0,126,103
Urshan Graduate School of Theology,,27,14,61,30,0,0,0,0,0,0,0,0,88,44
Vancouver School of Theology,,61,37,41,24,14,6,0,0,0,0,52,14,168,81
Vanderbilt University Divinity School,,51,46,26,23,4,3,105,113,0,0,0,0,186,185
