United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"Race/Ethnicity
Faculty Rank",,2019,,,2020,,,2021,,,2022,,,2023,,
,,M,F,O/U,M,F,O/U,M,F,O/U,M,F,O/U,M,F,O/U
Asian or PI,Professor,66,12,0,72,16,0,75,19,0,84,19,0,79,20,0
,Associate Professor,56,29,0,54,25,0,61,25,0,57,27,0,54,25,1
,Assistant Professor,41,25,1,51,27,1,47,27,1,53,33,1,43,31,0
,Others,9,3,0,12,4,0,12,6,0,11,4,0,17,5,1
,Total,172,69,1,189,72,1,195,77,1,205,83,1,193,81,2
"Black (Non-
Hispanic)",Professor,61,22,0,65,23,0,62,23,0,65,31,0,65,31,0
,Associate Professor,60,23,0,51,28,0,55,36,0,55,37,0,48,34,0
,Assistant Professor,40,48,3,41,45,2,47,46,2,55,48,1,47,52,0
,Others,16,12,0,12,11,0,9,7,0,10,8,0,15,3,0
,Total,177,105,3,169,107,2,173,112,2,185,124,1,175,120,0
Hispanic,Professor,36,8,0,38,10,0,37,10,0,45,11,0,38,10,0
,Associate Professor,40,6,1,40,3,1,47,5,0,42,5,0,36,5,0
,Assistant Professor,32,15,1,29,17,1,27,17,1,33,16,0,40,19,0
,Others,7,6,1,8,10,0,10,6,0,11,11,0,7,5,0
,Total,115,35,3,115,40,2,121,38,1,131,43,0,121,39,0
Indigenous,Professor,1,0,0,1,0,0,1,1,0,2,1,0,2,0,0
,Associate Professor,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,Assistant Professor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total,1,0,0,1,0,0,1,1,0,2,1,0,2,1,0
"White (Non-
Hispanic)",Professor,950,202,3,921,199,2,888,190,1,856,188,0,781,176,0
,Associate Professor,440,167,2,424,149,1,431,149,1,407,149,1,359,136,0
,Assistant Professor,315,110,4,275,117,2,235,119,1,247,129,2,208,123,1
,Others,134,61,4,120,53,4,117,44,4,103,36,2,73,40,0
,Total,1839,540,13,1740,518,9,1671,502,7,1613,502,5,1421,475,1
Multiracial,Professor,2,1,0,3,2,0,4,2,0,4,2,0,1,1,0
,Associate Professor,8,1,0,5,4,0,4,3,0,5,3,0,5,2,0
,Assistant Professor,3,4,0,3,2,0,2,2,0,3,3,0,4,3,1
,Others,0,2,0,0,1,0,0,1,0,2,1,0,1,0,0
,Total,13,8,0,11,9,0,10,8,0,14,9,0,11,6,1
Not Available,Professor,19,9,1,18,8,1,24,8,0,16,11,0,22,8,1
,Associate Professor,16,6,2,21,5,4,21,3,2,21,7,2,20,10,4
,Assistant Professor,20,6,6,19,8,7,17,9,3,24,9,3,25,6,0
,Others,12,4,1,14,6,2,13,5,3,16,5,2,14,5,3
,Total,67,25,10,72,27,14,75,25,8,77,32,7,81,29,8
Total Faculty,Professor,1136,255,4,1120,258,3,1094,253,1,1076,264,0,988,246,1
,Associate Professor,626,233,5,600,215,6,622,223,3,591,230,3,522,213,5
,Assistant Professor,454,213,15,422,220,13,379,222,8,419,240,7,367,234,2
,Others,178,88,6,166,85,6,161,70,7,153,65,4,127,58,4
,Total,2394,789,30,2308,778,28,2256,768,19,2239,799,14,2004,751,12
