Table 5.1 Total Giving by Source 2023,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All Member Schools,,,,,,,
,,Operating Gifts,,,Other Purpose Gifts,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Individuals,,,,,,,
,Alumni/ae,55850,8%,,41905,14%,
,Friends,205665,30%,,102989,35%,
,Subtotals,261515,38%,,144894,49%,
Organization,,,,,,,
,Foundations,241239,35%,,79120,27%,
,Corporations,23995,4%,,10145,3%,
,Religious Organizations,113209,17%,,15931,5%,
,Other Organizations,45480,7%,,44935,15%,
,Subtotals,423923,62%,,150131,51%,
Number of Respondents: 274,,,,,,,
United States,,,,,,,
,,Operating Gifts,,,Other Purpose Gifts,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Individuals,,,,,,,
,Alumni/ae,49111,7%,,37126,13%,
,Friends,199294,30%,,99646,36%,
,Subtotals,248405,38%,,136772,50%,
Organization,,,,,,,
,Foundations,237233,36%,,72855,26%,
,Corporations,22940,4%,,9556,4%,
,Religious Organizations,107054,16%,,15163,6%,
,Other Organizations,44878,7%,,42178,15%,
,Subtotals,412106,62%,,139752,51%,
Number of Respondents: 237,,,,,,,
Canada,,,,,,,
,,Operating Gifts,,,Other Purpose Gifts,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Individuals,,,,,,,
,Alumni/ae,8937,27%,,6337,26%,
,Friends,8448,26%,,4433,18%,
,Subtotals,17385,53%,,10769,44%,
Organization,,,,,,,
,Foundations,5312,16%,,8307,34%,
,Corporations,1398,4%,,781,3%,
,Religious Organizations,8161,25%,,1019,4%,
,Other Organizations,799,2%,,3656,15%,
,Subtotals,15670,47%,,13763,56%,
Number of Respondents: 37,,,,,,,
"Figures for ""All Member Schools"" and ""United States"" are in U.S. dollars, figures for ""Canada"" are in Canadian dollars.",,,,,,,
