United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2014,,2019,,2022,,2023,
Enrollment size,N,%,N,%,N,%,N,%
< 75,44,19%,52,22%,57,24%,51,22%
75 - 150,63,27%,61,26%,69,28%,79,33%
151 - 300,68,29%,71,30%,61,25%,56,24%
301 - 500,27,12%,24,10%,26,11%,22,9%
501 - 1000,16,7%,11,5%,14,6%,11,5%
> 1000,13,6%,15,6%,14,6%,16,7%
Not Reporting,3,1%,2,1%,2,1%,2,1%
Total,234,100%,236,100%,243,100%,237,100%
