All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Dean of Chapel/Chaplain,,,
Number,10,4,5
Average Salary,65755,-,97944
Median Salary,57222,-,95481
Average Salary and Housing,70436,-,103944
Average Benefits,13546,-,8812
Average Pension,4201,-,8880
Total Average,88183,-,121636
25th percentile,61892,-,95415
Median,85316,-,126441
75th percentile,98400,-,130949
Dean of Students,,,
Number,30,19,22
Average Salary,72473,88588,93569
Median Salary,63473,92457,88200
Average Salary and Housing,77052,91537,96660
Average Benefits,11399,10465,12224
Average Pension,4532,9478,8840
Total Average,92984,111481,117724
25th percentile,54843,86637,91651
Median,84421,116486,110226
75th percentile,116000,124040,130883
Director/Chair of Academic Degree Program,,,
Number,15,7,26
Average Salary,88713,62989,72913
Median Salary,75000,62465,72100
Average Salary and Housing,92940,62989,75705
Average Benefits,9374,12885,12164
Average Pension,6765,3691,6678
Total Average,109079,79565,94547
25th percentile,69378,59160,70316
Median,80000,68250,91482
75th percentile,104000,103622,123379
