col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Director of Marketing,,,,,,
Number,14,14,10,5,5,4
Average Salary,83519,72397,91623,88708,93668,-
Median Salary,67225,70000,79058,-,-,-
Average Salary and Housing,83519,72397,91623,88708,93668,-
Average Benefits,11136,12815,13803,14369,7429,-
Average Pension,6361,6283,8323,6930,8425,-
Total Compensation Average,101017,91495,113749,110006,109522,-
Total Compensation 25th Percentile,73684,78384,75334,58762,84873,-
Total Compensation Median,84500,91239,83000,92114,98636,-
Total Compensation 75th Percentile,106150,108577,139371,104039,111092,-
"Director of Online Education/Distance Learning/Digital
Learning",,,,,,
Number,13,10,9,4,5,3
Average Salary,66778,70470,91414,-,75615,-
Median Salary,69000,65000,78012,-,-,-
Average Salary and Housing,66778,70470,91969,-,76335,-
Average Benefits,4591,12082,12543,-,13965,-
Average Pension,4159,3829,9053,-,5595,-
Total Compensation Average,75528,86381,113565,-,95895,-
Total Compensation 25th Percentile,42000,65000,53709,-,57374,-
Total Compensation Median,75493,78948,107271,-,92204,-
Total Compensation 75th Percentile,101302,115958,133457,-,110692,-
Director of Recruitment/Retention,,,,,,
Number,2,4,5,-,4,-
Average Salary,-,-,66395,-,-,-
Median Salary,-,-,-,-,-,-
Average Salary and Housing,-,-,67395,-,-,-
Average Benefits,-,-,4936,-,-,-
Average Pension,-,-,5472,-,-,-
Total Compensation Average,-,-,77802,-,-,-
Total Compensation 25th Percentile,-,-,38000,-,-,-
Total Compensation Median,-,-,79139,-,-,-
Total Compensation 75th Percentile,-,-,92068,-,-,-
"Director of Relations (Alum, External, Church)",,,,,,
Number,3,4,5,3,1,-
Average Salary,-,-,61312,-,-,-
Median Salary,-,-,-,-,-,-
Average Salary and Housing,-,-,63444,-,-,-
Average Benefits,-,-,14168,-,-,-
Average Pension,-,-,5799,-,-,-
Total Compensation Average,-,-,83410,-,-,-
Total Compensation 25th Percentile,-,-,33000,-,-,-
Total Compensation Median,-,-,92429,-,-,-
Total Compensation 75th Percentile,-,-,96939,-,-,-
