Table 2.7 Head Count Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
United States,,,,,
,2019,2020,2021,2022,2023
Master's Degree Programs,,,,,
MDiv,29162,28941,27664,26378,24850
MA (prof),12628,12787,12868,12682,12769
MA (acad),11738,12330,11147,10403,10112
MA (both),0,0,1572,2839,3211
Subtotal MA,24366,25117,25587,25924,26092
ThM/STM,1129,1159,1172,1165,1132
Doctoral Degree Programs,,,,,
DMin,8442,8540,9402,9979,9632
Other Prof Dr,1401,1528,1552,1455,1370
Subtotal DMin and Other Prof Dr,9843,10068,10954,11434,11002
PhD/ThD,3811,3678,3773,3879,3968
Non-Degree Programs,,,,,
NonDegree,3683,3562,3966,4006,4456
Total,71994,72525,73116,72786,71500
Canada,,,,,
,2019,2020,2021,2022,2023
Master's Degree Programs,,,,,
MDiv,1641,1514,1436,1331,1293
MA (prof),830,945,1000,944,1006
MA (acad),1143,1205,538,424,381
MA (both),0,0,465,504,546
Subtotal MA,1973,2150,2003,1872,1933
ThM/STM,113,91,161,150,156
Doctoral Degree Programs,,,,,
DMin,236,217,237,215,254
Other Prof Dr,38,47,44,53,51
Subtotal DMin and Other Prof Dr,274,264,281,268,305
PhD/ThD,309,261,244,234,231
Non-Degree Programs,,,,,
NonDegree,739,786,780,688,748
Total,5049,5066,4905,4543,4666
