Canada,col_1,col_2
,2023-2024,
,$,N
IT Help Desk Support,-,2
Library Staff,89846,11
Recruitment Staff,64430,9
Registrar,90149,24
Faculty,,
Professor,142816,61
Associate Professor,112469,67
Assistant Professor,100456,46
Not Ranked,-,3
