Table 4.1 Average Annual Tuition and Fees Charged by Full-Time Equivalent Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States,,,,Canada,,,
,2022-23,,2023-24,,2022-23,,2023-24,
,Average,N,Average,N,Average,N,Average,N
Master's Degree Programs (MDiv),,,,,,,,
< 75,16003,85,15814,83,8477,23,9351,21
75 - 150,17863,71,18750,71,9107,6,11470,8
151 - 300,18546,44,23426,33,13004,3,10713,2
301 - 500,20023,12,18783,11,12474,1,38880,1
501 - 1000,16298,10,16965,13,0,0,0,0
> 1000,9252,6,8314,6,0,0,0,0
Doctoral Degree Programs (DMin),,,,,,,,
< 75,5454,47,8676,45,6499,10,8012,8
75 - 150,7118,50,8540,47,7852,3,8295,5
151 - 300,6908,32,9442,25,6875,1,8042,1
301 - 500,8250,8,8067,8,6972,1,21708,1
501 - 1000,9049,10,11529,14,0,0,0,0
> 1000,4198,7,6522,6,0,0,0,0
Doctoral Degree Programs (PhD/ThD),,,,,,,,
< 75,11156,9,14231,12,8576,6,7869,6
75 - 150,18425,16,20345,14,8043,3,13042,2
151 - 300,28097,17,26828,17,18210,1,6997,1
301 - 500,24779,7,13033,4,0,0,0,0
501 - 1000,20644,9,16264,11,0,0,0,0
> 1000,8198,7,10670,6,0,0,0,0
"Canadian figures in Canadian dollars. U.S. figures in U.S. dollars.
N = Number reporting.",,,,,,,,
