col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Director of Student Services/Affairs,,,,,,
Number,19,26,9,3,5,3
Average Salary,68828,62658,63948,-,53211,-
Median Salary,68302,59598,69984,-,-,-
Average Salary and Housing,70088,63120,63948,-,53211,-
Average Benefits,10652,9011,5576,-,15037,-
Average Pension,5448,3196,5469,-,4327,-
Total Compensation Average,86187,75327,74992,-,72575,-
Total Compensation 25th Percentile,75917,61178,53636,-,50185,-
Total Compensation Median,79961,73970,83646,-,66744,-
Total Compensation 75th Percentile,90364,87806,92449,-,84040,-
Accounting Staff,,,,,,
Number,6,9,10,2,8,-
Average Salary,69186,68585,63038,-,80896,-
Median Salary,66252,65000,60000,-,87000,-
Average Salary and Housing,69186,68585,63038,-,80896,-
Average Benefits,10250,4279,15744,-,8219,-
Average Pension,4141,6096,5661,-,6783,-
Total Compensation Average,83577,78960,84442,-,95898,-
Total Compensation 25th Percentile,49150,65000,67430,-,73401,-
Total Compensation Median,71022,72828,75840,-,92552,-
Total Compensation 75th Percentile,106336,85937,99125,-,99087,-
Admissions Officer,,,,,,
Number,32,27,25,9,18,2
Average Salary,55949,66706,65298,56559,59413,-
Median Salary,53000,61918,59000,54340,58000,-
Average Salary and Housing,55949,67521,65498,56559,59413,-
Average Benefits,7996,10366,10493,11178,8602,-
Average Pension,3940,6354,4667,3558,3290,-
Total Compensation Average,67885,84240,80658,71294,71305,-
Total Compensation 25th Percentile,45247,58611,48569,48389,55851,-
Total Compensation Median,67037,78231,73346,70370,66675,-
Total Compensation 75th Percentile,81746,97318,103119,82269,85515,-
Alum Officer,,,,,,
Number,4,8,6,2,3,1
Average Salary,-,63402,69325,-,-,-
Median Salary,-,58350,69256,-,-,-
Average Salary and Housing,-,63402,69325,-,-,-
Average Benefits,-,9156,11125,-,-,-
Average Pension,-,6254,4203,-,-,-
Total Compensation Average,-,78811,84653,-,-,-
Total Compensation 25th Percentile,-,57839,72458,-,-,-
Total Compensation Median,-,74688,73402,-,-,-
Total Compensation 75th Percentile,-,75400,114164,-,-,-
