col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
VP/Director-HR,,,,,,
Number,1,3,8,4,2,4
Average Salary,-,-,128570,-,-,-
Median Salary,-,-,112986,-,-,-
Average Salary and Housing,-,-,132320,-,-,-
Average Benefits,-,-,12250,-,-,-
Average Pension,-,-,10691,-,-,-
Total Compensation Average,-,-,155261,-,-,-
Total Compensation 25th Percentile,-,-,117714,-,-,-
Total Compensation Median,-,-,129370,-,-,-
Total Compensation 75th Percentile,-,-,158739,-,-,-
Chief Development Officer,,,,,,
Number,27,33,14,8,6,5
Average Salary,100712,114780,154810,155278,136747,127438
Median Salary,99338,112166,151400,143199,125580,-
Average Salary and Housing,101823,115750,157382,155278,136747,127438
Average Benefits,10203,13037,15411,20233,17879,19610
Average Pension,7985,10191,13909,15200,12006,9211
Total Compensation Average,120012,138978,186703,190711,166632,156259
Total Compensation 25th Percentile,82247,107829,130183,161135,141842,77281
Total Compensation Median,120000,134400,188221,166273,150099,142608
Total Compensation 75th Percentile,150630,165732,225631,220801,168641,204678
VP-Finance (CFO),,,,,,
Number,37,46,18,7,11,5
Average Salary,102251,117283,145450,144462,146151,137326
Median Salary,95518,104917,133640,159070,137000,-
Average Salary and Housing,102438,117913,147450,144462,146151,137326
Average Benefits,8456,12585,16930,20429,18734,17781
Average Pension,6815,9563,13856,12755,12764,10437
Total Compensation Average,117710,140062,178236,177646,177649,165545
Total Compensation 25th Percentile,82070,100000,124575,133690,157049,129968
Total Compensation Median,108500,126620,173500,187434,174667,165282
Total Compensation 75th Percentile,137500,179067,211009,205996,195238,171867
VP-Operations/Facilities (COO),,,,,,
Number,5,6,5,2,3,1
Average Salary,83137,134362,173937,-,-,-
Median Salary,-,88786,-,-,-,-
Average Salary and Housing,83137,134362,193521,-,-,-
Average Benefits,14188,8658,27281,-,-,-
Average Pension,5905,9234,20154,-,-,-
Total Compensation Average,103231,152254,240956,-,-,-
Total Compensation 25th Percentile,60301,98673,133680,-,-,-
Total Compensation Median,107982,126041,196799,-,-,-
Total Compensation 75th Percentile,122363,172400,284646,-,-,-
