col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Business Office Staff,,,,,,
Number,7,12,11,1,3,-
Average Salary,50630,60873,67064,-,-,-
Median Salary,48053,49692,66207,-,-,-
Average Salary and Housing,50630,60873,67064,-,-,-
Average Benefits,9800,3163,10295,-,-,-
Average Pension,6231,4334,4833,-,-,-
Total Compensation Average,66661,68370,82193,-,-,-
Total Compensation 25th Percentile,43526,46330,62629,-,-,-
Total Compensation Median,58428,56530,86600,-,-,-
Total Compensation 75th Percentile,76708,73728,89134,-,-,-
Communications Staff,,,,,,
Number,20,17,21,5,6,2
Average Salary,56849,56916,64334,76345,64294,-
Median Salary,56650,55000,61000,-,50635,-
Average Salary and Housing,56849,58242,64334,76345,64294,-
Average Benefits,6887,4912,13602,11254,4719,-
Average Pension,3594,4124,5091,6827,2025,-
Total Compensation Average,67330,67277,83027,94425,71039,-
Total Compensation 25th Percentile,49259,45090,67948,48938,49033,-
Total Compensation Median,66072,59426,82800,94336,67851,-
Total Compensation 75th Percentile,73745,76121,94723,134295,90925,-
Development Professional Staff,,,,,,
Number,23,34,44,11,21,6
Average Salary,69059,78541,89738,90583,65823,75619
Median Salary,66300,73355,85638,79885,67000,54211
Average Salary and Housing,69059,78541,89738,90583,65823,76693
Average Benefits,11482,14011,12250,16620,10763,8872
Average Pension,5830,5764,7187,9234,4124,8704
Total Compensation Average,86370,98315,109175,116437,80711,94269
Total Compensation 25th Percentile,66259,77700,88619,101446,57011,48404
Total Compensation Median,81209,91469,107545,103219,82200,75156
Total Compensation 75th Percentile,106581,113712,130437,121408,95021,127533
Educational Technology Staff,,,,,,
Number,-,5,3,1,1,-
Average Salary,-,53675,-,-,-,-
Median Salary,-,-,-,-,-,-
Average Salary and Housing,-,53675,-,-,-,-
Average Benefits,-,10811,-,-,-,-
Average Pension,-,2893,-,-,-,-
Total Compensation Average,-,67379,-,-,-,-
Total Compensation 25th Percentile,-,42000,-,-,-,-
Total Compensation Median,-,62852,-,-,-,-
Total Compensation 75th Percentile,-,79942,-,-,-,-
