All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Financial Aid,,,
Number,2,2,5
Average Salary,-,-,86376
Median Salary,-,-,85000
Average Salary and Housing,-,-,86376
Average Benefits,-,-,8162
Average Pension,-,-,6792
Total Average,-,-,101330
25th percentile,-,-,74119
Median,-,-,104696
75th percentile,-,-,121307
Director of Formation,,,
Number,32,5,15
Average Salary,67855,84305,102757
Median Salary,65000,76139,99953
Average Salary and Housing,72726,86045,102757
Average Benefits,11999,10603,14707
Average Pension,6609,5688,7794
Total Average,91333,102336,125258
25th percentile,57599,64359,89805
Median,87806,96253,125941
75th percentile,129068,125026,142410
Director of Graduate Studies,,,
Number,5,4,12
Average Salary,82277,-,74279
Median Salary,73346,-,77082
Average Salary and Housing,82277,-,74279
Average Benefits,11240,-,13530
Average Pension,2840,-,4182
Total Average,96358,-,91992
25th percentile,70040,-,59715
Median,99017,-,102960
75th percentile,109999,-,105942
