col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Financial Aid Officer,,,,,,
Number,13,20,12,5,6,4
Average Salary,53200,60734,65059,73511,71763,-
Median Salary,51628,59602,61862,-,64480,-
Average Salary and Housing,53200,60734,65059,73511,71763,-
Average Benefits,8589,7476,12137,12683,9459,-
Average Pension,3400,7265,4607,6239,6504,-
Total Compensation Average,65189,75475,81804,92433,87726,-
Total Compensation 25th Percentile,48711,55000,44554,39992,68144,-
Total Compensation Median,63115,69375,78431,92770,77046,-
Total Compensation 75th Percentile,80670,83131,100244,101981,109931,-
IT Help Desk Support,,,,,,
Number,2,1,6,-,2,-
Average Salary,-,-,61753,-,-,-
Median Salary,-,-,57364,-,-,-
Average Salary and Housing,-,-,61753,-,-,-
Average Benefits,-,-,10105,-,-,-
Average Pension,-,-,5234,-,-,-
Total Compensation Average,-,-,77093,-,-,-
Total Compensation 25th Percentile,-,-,59602,-,-,-
Total Compensation Median,-,-,74992,-,-,-
Total Compensation 75th Percentile,-,-,84891,-,-,-
Library Staff,,,,,,
Number,21,40,44,19,21,1
Average Salary,50513,61460,64126,70389,59640,-
Median Salary,53990,60400,60300,66950,64480,-
Average Salary and Housing,50513,61460,64126,70389,59640,-
Average Benefits,8628,12016,6779,12061,12818,-
Average Pension,3620,5710,6511,7978,5273,-
Total Compensation Average,62761,79186,77416,90428,77730,-
Total Compensation 25th Percentile,39665,63516,62056,72081,54987,-
Total Compensation Median,58927,79029,77358,86701,76163,-
Total Compensation 75th Percentile,80304,94343,90326,97104,93959,-
Recruitment Staff,,,,,,
Number,14,26,7,3,1,1
Average Salary,54017,59615,70222,-,-,-
Median Salary,52000,55231,79000,-,-,-
Average Salary and Housing,54017,59615,70222,-,-,-
Average Benefits,6614,10238,14288,-,-,-
Average Pension,4593,3913,4158,-,-,-
Total Compensation Average,65223,73766,88667,-,-,-
Total Compensation 25th Percentile,48300,57099,43860,-,-,-
Total Compensation Median,58904,72651,84000,-,-,-
Total Compensation 75th Percentile,80371,81973,109020,-,-,-
