United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2014,,2019,,2022,,2023,
Enrollment size,N,%,N,%,N,%,N,%
< 75,82,35%,84,36%,93,38%,95,40%
75 - 150,71,30%,68,29%,73,30%,72,30%
151 - 300,42,18%,51,22%,46,19%,35,15%
301 - 500,20,9%,14,6%,12,5%,13,6%
501 - 1000,9,4%,10,4%,10,4%,14,6%
> 1000,6,3%,7,3%,7,3%,6,3%
Not Reporting,4,2%,2,1%,2,1%,2,1%
Total,234,100%,236,100%,243,100%,237,100%
