"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2023",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
Episcopal Church,61,501,60,173,73,328,107,1002
Evangelical Church in Canada,5,16,9,25,9,23,13,64
Evangelical Congregational Church,13,31,14,31,14,26,24,88
Evangelical Covenant Church,27,105,27,128,27,127,49,360
Evangelical Formosan Church,1,3,1,2,1,1,1,6
Evangelical Free Church of America,31,122,40,264,30,112,52,498
Evangelical Free Church of Canada,2,4,6,10,4,6,9,20
Evangelical Lutheran Church in America,36,547,35,171,39,270,60,988
Evangelical Lutheran Church in Canada,3,7,4,4,7,19,9,30
Evangelical Presbyterian Church,25,117,17,71,17,69,32,257
Fellowship of Evangelical Baptist Churches in Canada,8,52,7,57,9,52,13,161
Fellowship of Grace Brethren Churches,0,0,4,6,2,4,5,10
Foursquare Gospel Church,15,31,20,53,13,42,28,126
Free Methodist Church,19,55,17,60,23,49,36,164
"Friends, Quaker",8,13,10,13,7,12,19,38
General Assembly of World Presbyterian Church,1,15,1,10,1,14,1,39
General Association of General Baptists,3,3,5,7,4,7,9,17
General Association of Regular Baptist Churches,4,7,2,5,5,9,8,21
General Baptist State Convention of North Carolina,2,6,2,18,3,4,5,28
Global Methodist Church,6,89,5,29,3,26,7,144
Greek Orthodox Archdiocese of America,3,54,4,33,4,40,7,127
Heritage Reformed Congregations (USA and Canada),1,4,1,4,2,14,2,22
Independent Baptist,22,97,19,89,21,96,34,282
Independent Methodist,4,8,3,3,5,5,8,16
Inter/Multidenominational,29,68,27,84,20,59,43,211
Jewish,10,57,18,48,17,25,33,130
Korean American Presbyterian Church,13,65,11,74,13,67,17,206
Korean Evangelical Holiness Church,5,42,3,11,2,35,7,88
Korean Methodist Church in America,11,62,6,17,12,80,13,159
Korean Presbyterian Church Abroad,10,26,8,20,12,91,17,137
Korean Presbyterian Church in America (Kosin),6,82,4,22,6,61,10,165
Lutheran Church-Canada,2,9,9,15,4,6,13,30
Lutheran Church-Missouri Synod,14,371,14,93,16,391,31,855
Lutheran Congregations in Mission for Christ,3,32,2,13,3,16,4,61
"Lutheran, Other",33,77,42,88,48,146,72,311
Mennonite Brethren Church in North America,11,18,16,62,16,35,27,115
Mennonite Church Canada,2,4,7,13,6,10,8,27
Mennonite Church USA,12,45,11,30,10,36,22,111
"Mennonite, Other",11,17,17,81,16,22,32,120
"Methodist, Other",29,68,28,70,31,60,53,198
Missionary Church in Canada,4,6,1,1,5,8,6,15
Moravian Church in North America,3,12,2,2,5,14,8,28
Muslim,6,55,10,122,14,49,20,226
National Association of Congregational Christian Churches,4,5,1,1,4,4,9,10
National Baptist Convention,24,50,16,23,29,70,44,143
Nondenominational,140,2583,140,3847,130,1848,173,8278
North American Baptist Conference,8,30,9,31,6,18,15,79
North American Lutheran Church,6,22,4,7,4,20,8,49
Not Available,37,965,47,2041,47,820,63,3826
