All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Career/Placement Services,,,
Number,3,7,5
Average Salary,-,75288,68245
Median Salary,-,77625,67500
Average Salary and Housing,-,75288,68245
Average Benefits,-,4488,7820
Average Pension,-,4552,17278
Total Average,-,84328,93343
25th percentile,-,64134,57617
Median,-,92763,81899
75th percentile,-,95000,91177
Director of Recruitment/Retention,,,
Number,2,3,10
Average Salary,-,-,72617
Median Salary,-,-,73200
Average Salary and Housing,-,-,73117
Average Benefits,-,-,9560
Average Pension,-,-,7095
Total Average,-,-,89772
25th percentile,-,-,79139
Median,-,-,92068
75th percentile,-,-,105224
"Director of Relations (Alum, External, Church)",,,
Number,2,6,8
Average Salary,-,74026,69063
Median Salary,-,57000,59530
Average Salary and Housing,-,74026,69688
Average Benefits,-,6799,17406
Average Pension,-,5113,6429
Total Average,-,85938,93522
25th percentile,-,62076,75892
Median,-,67408,87765
75th percentile,-,94000,109072
