Degree Category,col_1,Multi-Racial,col_3,col_4,Not Available,col_6,col_7,col_8,Total,col_10,col_11,col_12,Grand
,Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,
,MDiv,147,81,8,733,222,10,201,5792,2440,103,201,8536
,MA (prof),53,63,1,368,412,16,47,2446,2712,26,47,5231
,MA (acad),79,55,0,318,203,15,58,2417,1519,47,58,4041
,MA (both),11,9,0,69,106,4,54,519,498,7,54,1078
,Subtotal MA,143,127,1,755,721,35,159,5382,4729,80,159,10350
,ThM/STM,10,5,1,92,36,3,7,541,145,11,7,704
Doctoral Degree Programs,,,,,,,,,,,,,
,DMin,32,21,1,185,61,1,70,1696,706,10,70,2482
,Other Prof Dr,4,7,0,16,8,0,1,169,121,0,1,291
,"Subtotal DMin and
Other Prof Dr",36,28,1,201,69,1,71,1865,827,10,71,2773
,PhD/ThD,10,9,0,93,33,2,0,624,219,6,0,849
Non-Degree Programs,,,,,,,,,,,,,
,NonDegree,27,21,0,291,239,3,53,1331,1267,7,53,2658
Total,,373,271,11,2165,1320,54,491,15535,9627,217,491,25870
