Table 4.4 Expenditures as a Percent of Total Expenditures,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2018-19,2019-20,2020-21,2021-22,2022-23
Instruction,30%,31%,30%,30%,30%
Research,1%,0%,1%,1%,1%
Public Service,1%,1%,1%,1%,1%
Library,4%,4%,3%,3%,3%
Academic Support,6%,6%,7%,6%,7%
Student Services,5%,5%,5%,5%,5%
Admissions,2%,2%,2%,2%,2%
Institutional Support,21%,21%,20%,21%,21%
Operation and Maintenance of Plant,11%,11%,11%,11%,11%
Scholarships and Fellowships,12%,13%,14%,14%,13%
Auxiliary Enterprises,8%,7%,7%,7%,7%
United States,,,,,
,2018-19,2019-20,2020-21,2021-22,2022-23
Instruction,30%,30%,30%,29%,30%
Research,1%,0%,1%,1%,1%
Public Service,1%,1%,1%,1%,1%
Library,4%,4%,3%,3%,3%
Academic Support,6%,7%,7%,6%,7%
Student Services,5%,5%,5%,5%,5%
Admissions,2%,2%,2%,2%,2%
Institutional Support,21%,21%,20%,21%,21%
Operation and Maintenance of Plant,11%,11%,10%,10%,11%
Scholarships and Fellowships,13%,13%,14%,14%,13%
Auxiliary Enterprises,8%,7%,7%,7%,7%
Canada,,,,,
,2018-19,2019-20,2020-21,2021-22,2022-23
Instruction,36%,36%,37%,37%,36%
Research,0%,0%,0%,0%,0%
Public Service,1%,1%,1%,1%,1%
Library,4%,4%,5%,4%,4%
Academic Support,4%,3%,2%,2%,3%
Student Services,2%,2%,2%,2%,2%
Admissions,3%,4%,4%,4%,4%
Institutional Support,22%,21%,21%,20%,21%
Operation and Maintenance of Plant,16%,17%,16%,15%,16%
Scholarships and Fellowships,6%,6%,8%,7%,7%
Auxiliary Enterprises,6%,6%,6%,7%,7%
