col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Director of Field Education,,,,,,
Number,13,14,13,5,4,1
Average Salary,51453,68323,68704,93579,-,-
Median Salary,60000,66414,74160,-,-,-
Average Salary and Housing,53915,74305,72866,93579,-,-
Average Benefits,8447,15327,8313,14757,-,-
Average Pension,3694,6273,4092,9001,-,-
Total Compensation Average,66056,95906,85271,117337,-,-
Total Compensation 25th Percentile,36774,80928,39063,67150,-,-
Total Compensation Median,78448,87806,98500,123862,-,-
Total Compensation 75th Percentile,90484,114994,111800,147710,-,-
Director of Financial Aid,,,,,,
Number,1,2,6,-,-,-
Average Salary,-,-,79616,-,-,-
Median Salary,-,-,77250,-,-,-
Average Salary and Housing,-,-,79616,-,-,-
Average Benefits,-,-,10220,-,-,-
Average Pension,-,-,6042,-,-,-
Total Compensation Average,-,-,95877,-,-,-
Total Compensation 25th Percentile,-,-,74119,-,-,-
Total Compensation Median,-,-,85000,-,-,-
Total Compensation 75th Percentile,-,-,121307,-,-,-
Director of Formation,,,,,,
Number,8,24,12,4,5,1
Average Salary,69859,68388,79529,-,130969,-
Median Salary,66112,68250,89805,-,-,-
Average Salary and Housing,69859,73223,83571,-,130969,-
Average Benefits,4810,13738,12053,-,14262,-
Average Pension,3489,7776,3404,-,10970,-
Total Compensation Average,78158,94737,99028,-,156201,-
Total Compensation 25th Percentile,56728,65000,64359,-,104595,-
Total Compensation Median,84432,99984,89805,-,144000,-
Total Compensation 75th Percentile,89051,129068,132038,-,174170,-
Director of Graduate Studies,,,,,,
Number,6,6,3,1,3,5
Average Salary,67236,65379,-,-,-,75894
Median Salary,73346,48300,-,-,-,-
Average Salary and Housing,67236,65379,-,-,-,75894
Average Benefits,13034,8562,-,-,-,13072
Average Pension,1834,1003,-,-,-,6885
Total Compensation Average,82103,74944,-,-,-,95851
Total Compensation 25th Percentile,85800,59715,-,-,-,54779
Total Compensation Median,89909,70040,-,-,-,104836
Total Compensation 75th Percentile,99017,109999,-,-,-,105825
