All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Data Specialist,,,
Number,2,1,5
Average Salary,-,-,75846
Median Salary,-,-,72800
Average Salary and Housing,-,-,75846
Average Benefits,-,-,10240
Average Pension,-,-,3551
Total Average,-,-,89638
25th percentile,-,-,43146
Median,-,-,95547
75th percentile,-,-,103789
Development Professional Staff,,,
Number,26,44,68
Average Salary,74170,74474,83506
Median Salary,65000,70680,75996
Average Salary and Housing,74170,74474,83600
Average Benefits,11082,15490,11350
Average Pension,5301,6398,6873
Total Average,90553,96362,101824
25th percentile,61846,80000,73500
Median,88679,92471,100136
75th percentile,109500,111771,126816
Educational Technology Staff,,,
Number,1,5,4
Average Salary,-,56540,-
Median Salary,-,56825,-
Average Salary and Housing,-,56540,-
Average Benefits,-,9837,-
Average Pension,-,4124,-
Total Average,-,70501,-
25th percentile,-,42000,-
Median,-,64980,-
75th percentile,-,86128,-
