All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,Director of Financial Aid,,Director of Formation,,"Director of Graduate
Studies",,"Director of Housing/Student
Life",
Number,9,-,50,4,24,-,11,2
Average Salary,77859,-,82986,-,76254,-,73601,-
Median Salary,77250,-,83967,-,74968,-,79471,-
Average Salary and Housing,77859,-,86168,-,76254,-,73601,-
Average Benefits,9491,-,13012,-,12464,-,12150,-
Average Pension,6034,-,7023,-,3433,-,4663,-
Total Compensation Average,93384,-,106204,-,92151,-,90414,-
"Total Compensation 25th
Percentile",74119,-,82000,-,70040,-,66817,-
Total Compensation Median,86800,-,101415,-,95544,-,92500,-
"Total Compensation 75th
Percentile",104696,-,133316,-,109847,-,106868,-
,"Director of Institutional
Effectiveness",,"Director of Institutional
Research",,Director of IT,,Director of Library,
Number,6,-,6,-,71,7,95,11
Average Salary,76222,-,67072,-,93330,70564,76605,68132
Median Salary,75837,-,61800,-,90061,71626,73080,62215
Average Salary and Housing,79573,-,67905,-,93330,70564,77564,68857
Average Benefits,13332,-,8518,-,15335,2910,11887,3721
Average Pension,6810,-,5722,-,8390,3986,5956,6079
Total Compensation Average,99715,-,82145,-,117054,77460,95407,78658
"Total Compensation 25th
Percentile",90829,-,43000,-,96161,70173,73154,66457
Total Compensation Median,94721,-,67277,-,112610,76630,90159,70642
"Total Compensation 75th
Percentile",117504,-,109731,-,134906,77004,112684,73675
,"Director of Continuing
Education/Lifelong Learning",,Director of Marketing,,"Director of Online
Education/Distance
Learning/Digital Learning",,"Director of
Career/Placement Services",
Number,47,3,48,4,40,4,15,-
Average Salary,84166,-,86951,-,80137,-,73054,-
Median Salary,79732,-,78540,-,77000,-,73906,-
Average Salary and Housing,87060,-,86951,-,80352,-,73054,-
Average Benefits,13895,-,13657,-,10431,-,6771,-
Average Pension,7748,-,7391,-,6609,-,8713,-
Total Compensation Average,108703,-,108000,-,97392,-,88538,-
"Total Compensation 25th
Percentile",84028,-,78384,-,69000,-,64134,-
Total Compensation Median,105007,-,95547,-,92919,-,82400,-
"Total Compensation 75th
Percentile",130822,-,111092,-,115958,-,95000,-
