Canada,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2014,,2019,,2022,,2023,
Enrollment size,N,%,N,%,N,%,N,%
< 75,26,63%,25,64%,27,73%,25,68%
75 - 150,10,24%,8,21%,6,16%,9,24%
151 - 300,2,5%,4,10%,3,8%,2,5%
301 - 500,1,2%,1,3%,1,3%,1,3%
501 - 1000,0,-,0,-,0,-,0,-
> 1000,0,-,0,-,0,-,0,-
Not Reporting,2,5%,1,3%,0,-,0,-
Total,41,100%,39,100%,37,100%,37,100%
