Table 2.7 Head Count Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2019,2020,2021,2022,2023
Master's Degree Programs,,,,,
MDiv,30803,30455,29100,27709,26143
MA (prof),13458,13732,13868,13626,13775
MA (acad),12881,13535,11685,10827,10493
MA (both),0,0,2037,3343,3757
Subtotal MA,26339,27267,27590,27796,28025
ThM/STM,1242,1250,1333,1315,1288
Doctoral Degree Programs,,,,,
DMin,8678,8757,9639,10194,9886
Other Prof Dr,1439,1575,1596,1508,1421
Subtotal DMin and Other Prof Dr,10117,10332,11235,11702,11307
PhD/ThD,4120,3939,4017,4113,4199
Non-Degree Programs,,,,,
NonDegree,4422,4348,4746,4694,5204
Total,77043,77591,78021,77329,76166
