All Member Schools,col_1,col_2,col_3
Faculty Rank Name,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Professor,,,
1Number,221,361,539
2Average Salary,107431,96388,103357
2Median Salary,92579,90000,93925
3Average Salary and Housing,110250,100985,105801
4Average Benefits,11652,12445,14216
5Average Pension,6471,7314,7347
6Total Compensation Average,128374,120744,127363
Total Compensation 25th Percentile,86206,90390,103057
Total Compensation Median,113163,117020,118270
Total Compensation 75th Percentile,161078,139680,144780
Associate Professor,,,
1Number,176,219,326
2Average Salary,85938,80463,87931
2Median Salary,80000,78728,84872
3Average Salary and Housing,87540,83182,90688
4Average Benefits,10342,12819,13861
5Average Pension,4640,6729,6371
6Total Compensation Average,102522,102731,110920
Total Compensation 25th Percentile,80367,87207,93693
Total Compensation Median,97291,98425,106863
Total Compensation 75th Percentile,124300,117938,127862
Assistant Professor,,,
1Number,172,183,246
2Average Salary,66492,68029,72572
2Median Salary,66144,67200,71652
3Average Salary and Housing,68703,71202,73967
4Average Benefits,10546,10839,12114
5Average Pension,4474,6196,4912
6Total Compensation Average,83724,88237,90993
Total Compensation 25th Percentile,67763,68000,78644
Total Compensation Median,83012,82859,89248
Total Compensation 75th Percentile,101778,104711,102867
Not Ranked,,,
1Number,16,10,3
2Average Salary,98204,68831,-
2Median Salary,85362,65648,-
3Average Salary and Housing,98954,76133,-
4Average Benefits,18497,11064,-
5Average Pension,8004,6316,-
6Total Compensation Average,125456,93513,-
Total Compensation 25th Percentile,70000,61200,-
Total Compensation Median,116728,99175,-
Total Compensation 75th Percentile,144348,123723,-
