col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Chief Executive Officer (CEO),,,,,,
Number,94,76,28,13,11,5
Average Salary,130112,165692,190275,209707,227452,362300
Median Salary,109460,155968,144179,190000,225000,-
Average Salary and Housing,134786,178451,205523,222606,228462,362300
Average Benefits,9900,17199,16370,23610,27360,30508
Average Pension,8469,10893,16099,13674,19602,29167
Total Compensation Average,153155,206544,237992,259890,275424,421975
Total Compensation 25th Percentile,100002,143621,144146,166697,163220,243642
Total Compensation Median,131365,195660,178628,224928,261112,334164
Total Compensation 75th Percentile,207874,232193,300532,268407,313176,503910
Chief Academic Officer (CAO),,,,,,
Number,77,71,29,13,10,5
Average Salary,86353,105838,128772,128301,142472,172427
Median Salary,84188,98395,122412,122103,134988,-
Average Salary and Housing,90514,109302,134937,129570,142472,172427
Average Benefits,8962,14028,14547,17754,17680,24842
Average Pension,5676,7673,8526,8539,11144,13376
Total Compensation Average,105152,131003,158009,155863,171297,210645
Total Compensation 25th Percentile,80503,104221,110000,108269,124023,166970
Total Compensation Median,103469,130324,155166,149248,178521,195598
Total Compensation 75th Percentile,127145,146627,196031,182806,186234,230798
Executive Vice President,,,,,,
Number,9,4,3,3,10,3
Average Salary,101605,-,-,-,144964,-
Median Salary,87048,-,-,-,137494,-
Average Salary and Housing,102208,-,-,-,144964,-
Average Benefits,11287,-,-,-,17256,-
Average Pension,8442,-,-,-,12201,-
Total Compensation Average,121938,-,-,-,174421,-
Total Compensation 25th Percentile,50190,-,-,-,126495,-
Total Compensation Median,96180,-,-,-,175326,-
Total Compensation 75th Percentile,191910,-,-,-,207174,-
VP-Administration,,,,,,
Number,12,14,8,3,5,2
Average Salary,85452,118234,124501,-,92284,-
Median Salary,79038,106094,100000,-,-,-
Average Salary and Housing,90310,122515,129751,-,92284,-
Average Benefits,3697,20223,14566,-,7688,-
Average Pension,5435,11558,14405,-,8640,-
Total Compensation Average,99442,154296,158722,-,108612,-
Total Compensation 25th Percentile,79038,112487,111275,-,67005,-
Total Compensation Median,88678,148604,127490,-,102037,-
Total Compensation 75th Percentile,106100,167611,174145,-,106525,-
