All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Business Office Manager,,,
Number,8,11,13
Average Salary,48372,66241,79326
Median Salary,42106,68000,73013
Average Salary and Housing,49722,66241,79326
Average Benefits,7966,7615,7211
Average Pension,1836,3146,4931
Total Average,59524,77002,91468
25th percentile,32999,66044,67665
Median,52848,72818,81151
75th percentile,81641,79076,98090
Director of Communications,,,
Number,8,10,9
Average Salary,81203,90434,75926
Median Salary,75480,91264,72573
Average Salary and Housing,81203,94034,75926
Average Benefits,9734,13769,7776
Average Pension,3420,10772,3774
Total Average,94356,118575,87476
25th percentile,49482,101303,61493
Median,85554,109322,97911
75th percentile,112754,139507,106683
Director of Doctor of Ministry,,,
Number,-,12,8
Average Salary,-,70937,75821
Median Salary,-,68792,75000
Average Salary and Housing,-,70937,75821
Average Benefits,-,12965,8634
Average Pension,-,5678,2796
Total Average,-,89580,87251
25th percentile,-,69481,75168
Median,-,88742,84692
75th percentile,-,107200,97004
