"Table 4.2 Average Annual Tuition and Fees Charged at Independent, University-Affiliated, and
College-Affiliated Schools",col_1,col_2,col_3,col_4,col_5
,,United States,,Canada,
,,2022-23,2023-24,2022-23,2023-24
Master's Degree Programs (MDiv) per academic year,,,,,
,Independent,17330,17546,8351,9117
,University-Affiliated,17527,19605,8835,9250
,College-Affiliated,15549,16549,10917,14720
Doctoral Degree Programs (DMin) full program if completed within 3 years,,,,,
,Independent,6137,8492,7034,8512
,University-Affiliated,8116,11454,6170,6408
,College-Affiliated,5869,6536,6902,12001
Doctoral Degree Programs (PhD/ThD) per academic year,,,,,
,Independent,17114,16693,11570,10901
,University-Affiliated,25730,24379,7278,6286
,College-Affiliated,9695,7472,6830,6930
Canadian figures in Canadian dollars. U.S. figures in U.S. dollars.,,,,,
