All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Enrollment Management,,,
Number,3,14,11
Average Salary,-,95750,97906
Median Salary,-,76908,89826
Average Salary and Housing,-,95750,97906
Average Benefits,-,13371,12980
Average Pension,-,7025,9797
Total Average,-,116146,120683
25th percentile,-,75844,98125
Median,-,92986,111637
75th percentile,-,115592,133608
Facilities Director,,,
Number,5,6,11
Average Salary,101879,66595,88271
Median Salary,90000,66150,86569
Average Salary and Housing,101879,72595,89116
Average Benefits,15320,13283,10812
Average Pension,7594,5532,7141
Total Average,124793,91410,107070
25th percentile,91885,71760,84812
Median,106830,73700,104336
75th percentile,142987,102441,119549
Director of Field Education,,,
Number,15,19,16
Average Salary,57623,73824,67912
Median Salary,55485,67830,70000
Average Salary and Housing,63211,76969,69781
Average Benefits,8537,12950,13014
Average Pension,3763,6781,5175
Total Average,75511,96700,87970
25th percentile,36774,78448,78000
Median,87184,91481,88882
75th percentile,98500,114994,107531
