Table 2.14 Completions by Degree Category,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All Member Schools,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Total Degrees
2019,275,6244,7350,513,1675,476,16258
2020,275,5993,7268,514,1615,452,15842
2021,272,6158,7508,592,1809,419,16486
2022,280,5970,7637,568,1863,457,16495
2023,274,5447,7543,502,2170,428,16090
United States,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Total Degrees
2019,236,5974,6884,487,1639,441,15425
2020,237,5695,6791,460,1584,424,14954
2021,235,5888,7027,532,1776,386,15609
2022,243,5647,7092,529,1829,424,15521
2023,237,5174,7021,469,2132,391,15187
Canada,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Total Degrees
2019,39,270,466,26,36,35,833
2020,38,298,477,54,31,28,888
2021,37,270,481,60,33,33,877
2022,37,323,545,39,34,33,974
2023,37,273,522,33,38,37,903
