Canada,col_1,col_2,col_3
Faculty Rank Name,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Professor,,,
1Number,32,6,23
2Average Salary,117214,99194,142198
2Median Salary,117220,98544,135270
3Average Salary and Housing,120899,99194,142198
4Average Benefits,5929,2236,15934
5Average Pension,4512,4606,10246
6Total Compensation Average,131341,106036,168377
Total Compensation 25th Percentile,106738,101900,144959
Total Compensation Median,131753,107085,157597
Total Compensation 75th Percentile,155140,112375,194939
Associate Professor,,,
1Number,41,14,12
2Average Salary,97078,87206,118056
2Median Salary,98800,87039,102000
3Average Salary and Housing,99893,87206,118056
4Average Benefits,3521,3352,14031
5Average Pension,4685,5294,14702
6Total Compensation Average,108099,95852,146790
Total Compensation 25th Percentile,91998,89204,111056
Total Compensation Median,110287,98292,124234
Total Compensation 75th Percentile,123300,98344,177010
Assistant Professor,,,
1Number,23,12,11
2Average Salary,80619,78505,104416
2Median Salary,80500,76550,107703
3Average Salary and Housing,85562,78505,104416
4Average Benefits,3877,4110,7928
5Average Pension,5320,5903,13049
6Total Compensation Average,94759,88518,125393
Total Compensation 25th Percentile,86369,81962,100151
Total Compensation Median,95000,87668,124608
Total Compensation 75th Percentile,107853,95774,136407
Not Ranked,,,
1Number,1,1,1
2Average Salary,-,-,-
2Median Salary,-,-,-
3Average Salary and Housing,-,-,-
4Average Benefits,-,-,-
5Average Pension,-,-,-
6Total Compensation Average,-,-,-
Total Compensation 25th Percentile,-,-,-
Total Compensation Median,-,-,-
Total Compensation 75th Percentile,-,-,-
